"","Dim.1","Dim.2","Dim.3"
"A1BG_HUMAN",0.00447260802552069,0.0102037826786048,0.00185098221250408
"A1CF_HUMAN",0.00141357494514841,0.00159298052296739,0.0142104616286148
"A2MG_HUMAN",0.00418186547034051,0.00168058038008676,0.0108368991885119
"A2ML1_HUMAN",8.1384621451384e-05,0.0156356238182612,0.00155457711761589
"A3LT2_HUMAN",0.0093984015100065,0.000551149008341233,0.00579217987403967
"A4GAT_HUMAN",6.60780941807055e-06,0.00490909699303862,0.0125179958536047
"A4GCT_HUMAN",0.0132992621702397,0.000262921722661578,0.00145576942434706
"AAAS_HUMAN",0.011831670371738,0.00326968947159148,0.000148860388109046
"AACS_HUMAN",0.000758558307506489,0.012191225878364,0.00424304259296035
"AAAD_HUMAN",0.000200370961948901,0.0164353439897453,0.00060262563703258
"ADCL2_HUMAN",0.00554183583898458,0.00020283015026541,0.0107213701988093
"ADCL3_HUMAN",0.000716951525092658,0.0154016850663837,0.00103760673468792
"ADCL4_HUMAN",0.00145244279971902,0.00251326312434109,0.0132313480744008
"AADAT_HUMAN",0.00397349634477532,0.0088272108895382,0.00383879617117614
"AAGAB_HUMAN",0.00174696485090036,2.19811440541029e-05,0.0154075727662201
"AAK1_HUMAN",0.005517142180575,0.0107529501113592,5.48230502559128e-05
"AAMDC_HUMAN",0.00292180722435692,0.013242223211719,0.000610695666831183
"AAMP_HUMAN",0.00602869640321812,9.4501883150419e-05,0.0102535038045593
"SNAT_HUMAN",0.0113782052695692,0.0031547628891947,0.00080343959209697
"AAR2_HUMAN",0.00413526084376006,0.00585504998128925,0.00666006739449114
"AARD_HUMAN",0.00120914856266199,1.00749651593093e-07,0.0160679085852717
"SYAC_HUMAN",0.00388084615638939,0.0053728106399163,0.0074508470502876
"SYAM_HUMAN",0.00146632680949205,0.000706940043990859,0.0150461474603172
"AASD1_HUMAN",2.98505781164045e-05,0.0104400087870814,0.00688310709071099
"ACSF4_HUMAN",0.0122342332038698,4.11877563771511e-06,0.00298187172007838
"ADPPT_HUMAN",0.0135605887776445,0.00137858471769737,1.46152632787434e-05
"AASS_HUMAN",0.0115991426942598,0.000476244134833017,0.00325680017544212
"AATF_HUMAN",0.00393009314675948,0.00105408194673155,0.0117707952406011
"LMTK1_HUMAN",0.0138656823579895,9.42445690506499e-05,0.000954682962258785
"GABT_HUMAN",0.00479510865918055,0.0105307978267329,0.00113678254595467
"ABCA1_HUMAN",0.013911261329546,6.60788143062945e-06,0.000989447821594676
"ABCAA_HUMAN",0.00906536220827466,0.00248061861604049,0.00423123097926017
"ABCAC_HUMAN",0.0138582761443985,6.52500896725361e-06,0.00105240212703696
"ABCAD_HUMAN",8.24899794680003e-05,0.000574749746968386,0.0168221740015625
"ABCA2_HUMAN",0.00915239052961868,0.00372677685725822,0.00286459504324837
"ABCA3_HUMAN",0.0122637247893197,0.00139343522967807,0.00153837113314572
"ABCA4_HUMAN",0.00280041113491629,0.00694228344264398,0.00714170006408995
"ABCA5_HUMAN",0.00460700993544229,0.0115068030953945,0.000370486896776045
"ABCA6_HUMAN",0.000529093322664887,0.0148828335412627,0.00178653079712217
"ABCA7_HUMAN",0.00298131139054279,0.0108885249885137,0.00292629982148197
"ABCA8_HUMAN",0.00149743519272195,0.000435159460623401,0.0152847700494907
"ABCA9_HUMAN",0.000299190309369557,0.0169012436182028,1.30351486743556e-05
"MDR1_HUMAN",0.00169385278331225,0.0152462721050701,3.60109957679061e-05
"ABCBA_HUMAN",0.000719625673216917,0.00100294809554668,0.0156320590136201
"ABCBB_HUMAN",0.00808735267955533,0.00737779823483475,0.000426877531946781
"MDR3_HUMAN",0.0131966892100437,0.00172514128250656,9.50617014207764e-05
"ABCB5_HUMAN",0.00247887452266584,0.000280962584076942,0.0142765567177432
"ABCB6_HUMAN",0.0129758150467887,0.00207696381131851,4.60708804022023e-07
"ABCB7_HUMAN",0.0114862265513972,0.000945082047788779,0.00291546842689724
"MITOS_HUMAN",0.000710628623243931,0.00283008981878047,0.0137903547306628
"ABCB9_HUMAN",0.000173920853199629,0.0114015858021218,0.00573729937177669
"MRP1_HUMAN",0.0133028625872369,0.000262634337776501,0.00145178865535388
"MRP7_HUMAN",0.00528103576195432,0.000762715350332412,0.0104632072186206
"MRP8_HUMAN",0.00446678326498126,0.00584745037512282,0.00627439955923608
"MRP9_HUMAN",0.0132976880878366,0.000263047280325769,0.00145750988113813
"MRP2_HUMAN",0.000326611460751181,0.0144998102284672,0.00241510236633733
"MRP3_HUMAN",0.00206952818483392,0.000131665674936721,0.0149136312857547
"MRP4_HUMAN",0.000333053635313649,0.000382123002350003,0.0167201517849864
"MRP5_HUMAN",0.00137048870220275,0.0155923605520529,6.88340879044982e-05
"MRP6_HUMAN",0.0113282213397253,0.00100905258198149,0.00303809749548187
"ABCC8_HUMAN",0.000394111726789784,0.0141558804385329,0.00268368947116777
"ABCC9_HUMAN",0.00775768858722332,0.000113877652591217,0.00818230133215521
"ABCD1_HUMAN",7.26421305285452e-05,4.77882843584393e-05,0.0173680994300434
"ABCD2_HUMAN",0.0126146071314832,0.00164690845781215,0.000865052513783896
"ABCD3_HUMAN",0.00457132197487021,0.000248698780939058,0.0118264443446743
"ABCD4_HUMAN",0.00977715001648296,0.00202605661888232,0.00384749034356199
"ABCE1_HUMAN",0.0029203273815956,0.00409629734175435,0.00988470924962641
"ABCF1_HUMAN",0.00764874775254572,0.00159804279214441,0.00680690078497714
"ABCF2_HUMAN",0.00202335079513783,0.00674502991761837,0.00826370969184845
"ABCF3_HUMAN",0.00261715365810298,0.00135485236573618,0.0130237564219526
"ABCG1_HUMAN",4.15932970151266e-05,0.000649163114276349,0.016795259281495
"ABCG2_HUMAN",0.0134417291479684,0.000262583924736092,0.00128706576839296
"ABCG4_HUMAN",0.000753727070118599,0.0155755796017543,0.00081767369051232
"ABCG5_HUMAN",0.000115268850057343,0.00212878928373729,0.0152077744553091
"ABCG8_HUMAN",0.0062823130813902,5.50800713439144e-05,0.00999253784537495
"ABHD1_HUMAN",0.0101441187066171,0.0031504508212851,0.00227213332932098
"ABHDA_HUMAN",0.00905510827700674,0.00550725235734836,0.00117495758103601
"ABHDB_HUMAN",7.62005488327458e-05,0.0166884238701943,0.000493386072360973
"ABD12_HUMAN",0.00772788449289716,0.0079185845687379,0.000305153209057302
"AB12B_HUMAN",0.000103623402920781,0.00207083993959184,0.0152803423109649
"ABHDD_HUMAN",0.00126319007810907,0.00965946925174353,0.00621099247333169
"ABHEA_HUMAN",0.0107880678547626,2.7049989390299e-05,0.00467459081974885
"ABHEB_HUMAN",0.0139186865769454,0.000489694117251429,0.000490878234780046
"ABH15_HUMAN",0.00923017814465357,0.00391538208350526,0.00258108468433419
"ABHGA_HUMAN",0.00859330161433359,0.00212462659472247,0.00515227016799352
"ABHGB_HUMAN",0.00558076263185753,0.00900886328040307,0.00174751107595869
"AB17A_HUMAN",0.000253619265467516,0.00935502399799929,0.00771756290593549
"AB17B_HUMAN",0.000972288351526761,3.87555130851547e-06,0.0163451313306336
"AB17C_HUMAN",0.000475085849762356,0.0104356254445767,0.00635925104477219
"ABD18_HUMAN",0.000985077921607015,0.010501814536117,0.00568700969724822
"ABHD2_HUMAN",1.87000680527979e-05,0.0171713431021339,7.20242973825853e-05
"ABHD3_HUMAN",0.00577357309777012,4.79394993143194e-05,0.0106034293597033
"ABHD4_HUMAN",0.00187641726048623,0.00399093073836867,0.0112301969488542
"ABHD5_HUMAN",0.0112031959767317,1.89002467084085e-05,0.00419027724467345
"ABHD6_HUMAN",0.0140919489666349,0.000218359960177304,0.000560373471661169
"ABHD8_HUMAN",0.0114286149720674,0.00312965010638363,0.000769084940848353
"ABI1_HUMAN",0.010009406891468,0.00549162571768703,5.84641383260414e-05
"ABI2_HUMAN",0.0120339193096735,6.28556194179922e-06,0.00321736016535657
"ABI3_HUMAN",0.00497619252447119,0.000229004454196051,0.0113660060791454
"TARSH_HUMAN",0.00330716247292295,0.000845908647310651,0.012720990836205
"ABITM_HUMAN",0.00349917456408114,0.0120273370574175,0.00115727989742695
"ABL1_HUMAN",0.00315380736449944,0.00384597062348256,0.00986145487408623
"ABL2_HUMAN",0.00111631308456608,0.00276598964861551,0.0133739699241922
"ABLM2_HUMAN",0.00287916792508144,0.0095779063694613,0.0043762215990084
"ABLM3_HUMAN",0.00623415180532796,0.00187124269032907,0.00820843516228259
"BGAT_HUMAN",0.00259442144387193,0.0127762379523947,0.00147158156227844
"ABR_HUMAN",0.0056533692950962,0.00409517648859686,0.00664291772742744
"ABRA_HUMAN",0.00441204400877672,0.00124217924093301,0.011008234461146
"ABRAL_HUMAN",0.00121509027570785,0.000287017083884298,0.0157699788835927
"ABRX1_HUMAN",0.000335094217116439,0.0160851059062095,0.000797843824105226
"ABRX2_HUMAN",0.00528112861355288,0.0026421128717644,0.00855773958751552
"ABT1_HUMAN",0.00536956313055966,0.00284707186573814,0.00824501634229418
"ABTB1_HUMAN",0.0132754557080119,0.000774921913115089,0.000964944904843502
"ABTB2_HUMAN",0.00646372342871249,0.00330741399012635,0.00648002485228129
"THIK_HUMAN",0.00368844625000861,0.00883939173252792,0.00416467712175348
"THIM_HUMAN",0.00589269899096462,0.00521714736647517,0.00522146928632193
"ACACA_HUMAN",0.000538722016811611,0.0120691010409566,0.00462770405375408
"ACACB_HUMAN",0.0015031737989129,0.0154530870295217,5.2592085481373e-05
"ACD10_HUMAN",0.00186221094959779,0.0143264359323942,0.000768785116209796
"ACD11_HUMAN",0.0108126286920284,0.0042700348653431,0.000343855012232937
"ACAD8_HUMAN",0.0110301692893671,0.00248417787065036,0.00189625413720794
"ACAD9_HUMAN",0.0133028625872369,0.000262634337776501,0.00145178865535388
"ACADL_HUMAN",0.00862024495706386,0.00360927955193351,0.00361513985590914
"ACADM_HUMAN",0.00178706897320715,0.00140875504901581,0.0139540573991655
"ACADS_HUMAN",0.0101489479517368,0.0013732440883107,0.00406815824008501
"ACDSB_HUMAN",0.00146021709284653,0.015297526684763,0.000261272030908537
"ACADV_HUMAN",0.00526873903677007,0.00128286921857545,0.00995045936116495
"PGCA_HUMAN",0.000872609782088117,0.000488152484330834,0.0159724400825016
"ACAP2_HUMAN",0.00897442556517351,7.38665199617542e-05,0.0067791294123379
