"component"	"Ontology_type"	"Ontology_accession"	"Ongology_description"	"Count_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"	"Count_query"
"PC1(top10%)"	"GO"	"0002181"	"cytoplasmic translation "	"84/17829"	1.95968645016797	0.471142520612485	1.17601799815606e-10	7.836983939712e-07	4.15943449048152	"RS15A_HUMAN;RL35A_HUMAN;RS26_HUMAN;RL13A_HUMAN;RL26_HUMAN;RLA0_HUMAN;RL6_HUMAN;RS12_HUMAN;RSSA_HUMAN;RL36_HUMAN;RL5_HUMAN;RL39_HUMAN;RL31_HUMAN;RL15_HUMAN;RL34_HUMAN;RS6_HUMAN;RL29_HUMAN;RL7A_HUMAN;RL9_HUMAN;RL17_HUMAN;RS16_HUMAN;RS2_HUMAN;RS10_HUMAN;RL18_HUMAN;RL23_HUMAN;RL12_HUMAN;RL7_HUMAN;RS3_HUMAN;RS3A_HUMAN;RS11_HUMAN;RS28_HUMAN;RS29_HUMAN;TRM7_HUMAN;RL21_HUMAN;RS20_HUMAN;TMA7_HUMAN"	"36/1786"
"PC1(top10%)"	"GO"	"0022626"	"cytosolic ribosome "	"74/17829"	1.67973124300112	0.415054125301475	4.08612834083929e-09	2.72299592633531e-05	4.04701734209013	"RS15A_HUMAN;RL35A_HUMAN;RL13A_HUMAN;RL26_HUMAN;RLA0_HUMAN;RL6_HUMAN;RS12_HUMAN;RSSA_HUMAN;RL36_HUMAN;RL5_HUMAN;RL39_HUMAN;RL31_HUMAN;RL15_HUMAN;RL34_HUMAN;RS6_HUMAN;RL29_HUMAN;RL7A_HUMAN;RL9_HUMAN;RL17_HUMAN;RS16_HUMAN;RS2_HUMAN;RS10_HUMAN;RL18_HUMAN;RL23_HUMAN;RL12_HUMAN;RL7_HUMAN;RS3_HUMAN;RS3A_HUMAN;RS11_HUMAN;RL21_HUMAN;RS20_HUMAN"	"31/1786"
"PC1(top10%)"	"GO"	"0003735"	"structural constituent of ribosome "	"149/17829"	2.40761478163494	0.835717090134051	1.14906103371022e-08	7.6573427286449e-05	2.88089690884358	"RS15A_HUMAN;RL10L_HUMAN;RL35A_HUMAN;RS26_HUMAN;RL13A_HUMAN;RT18C_HUMAN;RT24_HUMAN;RL26_HUMAN;RL7L_HUMAN;RLA0_HUMAN;RL6_HUMAN;RS12_HUMAN;RSSA_HUMAN;RL36_HUMAN;RL5_HUMAN;RL39_HUMAN;RL31_HUMAN;RM49_HUMAN;RS4Y1_HUMAN;RL15_HUMAN;RL34_HUMAN;RS6_HUMAN;RL29_HUMAN;RL7A_HUMAN;RL9_HUMAN;RL17_HUMAN;RS16_HUMAN;RS2_HUMAN;RM33_HUMAN;RS10_HUMAN;RL18_HUMAN;RL23_HUMAN;RL12_HUMAN;RL7_HUMAN;RS3_HUMAN;RM04_HUMAN;RM35_HUMAN;RS3A_HUMAN;RM34_HUMAN;RS11_HUMAN;RS28_HUMAN;RS29_HUMAN;RL21_HUMAN;RS20_HUMAN"	"44/1786"
"PC1(top10%)"	"GO"	"0006412"	"translation "	"167/17829"	2.57558790593505	0.93667620169387	1.41531178004567e-08	9.43163770222434e-05	2.74970998652192	"RS15A_HUMAN;RL10L_HUMAN;RL35A_HUMAN;RS26_HUMAN;RL13A_HUMAN;RT18C_HUMAN;RL26_HUMAN;RLA0_HUMAN;RL6_HUMAN;RS12_HUMAN;RSSA_HUMAN;DHYS_HUMAN;ERF3B_HUMAN;RL36_HUMAN;RL5_HUMAN;RL39_HUMAN;RL31_HUMAN;RM49_HUMAN;RS4Y1_HUMAN;RL15_HUMAN;RL34_HUMAN;RS6_HUMAN;RL29_HUMAN;RL7A_HUMAN;RL9_HUMAN;RL17_HUMAN;RS16_HUMAN;RS2_HUMAN;RM33_HUMAN;RS10_HUMAN;RL18_HUMAN;RL23_HUMAN;RL12_HUMAN;RL7_HUMAN;RS3_HUMAN;RM04_HUMAN;RM35_HUMAN;RS3A_HUMAN;SMBP2_HUMAN;RM34_HUMAN;RS11_HUMAN;RS28_HUMAN;RS29_HUMAN;RL21_HUMAN;SYSC_HUMAN;RS20_HUMAN;EF1A2_HUMAN"	"47/1786"
"PC1(top10%)"	"GO"	"0070062"	"extracellular exosome "	"1936/17829"	14.7816349384099	10.8587133322116	1.87983950869517e-07	0.00125272504859446	1.36126946961214	"PGK1_HUMAN;PGAM2_HUMAN;PGAM4_HUMAN;PEBP1_HUMAN;PD1L1_HUMAN;PDCD2_HUMAN;PLXB2_HUMAN;RS15A_HUMAN;VATF_HUMAN;PALS1_HUMAN;RAB1B_HUMAN;RAB21_HUMAN;RABP2_HUMAN;ROA1_HUMAN;RET4_HUMAN;RL35A_HUMAN;RS26_HUMAN;PLOD1_HUMAN;TR150_HUMAN;TPA_HUMAN;RL26_HUMAN;SEM3G_HUMAN;TIG1_HUMAN;SSRD_HUMAN;RLA0_HUMAN;RSSA_HUMAN;LRP2_HUMAN;LG3BP_HUMAN;MDHM_HUMAN;MAL2_HUMAN;KALRN_HUMAN;HS71A_HUMAN;1433G_HUMAN;ARL15_HUMAN;H31T_HUMAN;H2AZ_HUMAN;H2B1L_HUMAN;IPYR_HUMAN;COF1_HUMAN;DSG2_HUMAN;H2B1M_HUMAN;HBA_HUMAN;GPV_HUMAN;DAF_HUMAN;GSTA3_HUMAN;H2A3_HUMAN;K1C28_HUMAN;HLAE_HUMAN;HNRPK_HUMAN;ANGL1_HUMAN;METRL_HUMAN;NUCB1_HUMAN;AMY1A_HUMAN;CDC37_HUMAN;COCA1_HUMAN;KPCI_HUMAN;H2B1H_HUMAN;CTDS1_HUMAN;ENPL_HUMAN;GTR5_HUMAN;ITIH2_HUMAN;B3GA3_HUMAN;CD22_HUMAN;COTL1_HUMAN;KRT36_HUMAN;LAMP1_HUMAN;CATZ_HUMAN;COBL1_HUMAN;ITA3_HUMAN;ADA15_HUMAN;CAR11_HUMAN;CHMP3_HUMAN;F10A1_HUMAN;FA12_HUMAN;GLNA_HUMAN;ANGT_HUMAN;ANX11_HUMAN;CFAB_HUMAN;K1C18_HUMAN;DPP4_HUMAN;DRB1_HUMAN;CATD_HUMAN;GLUT4_HUMAN;GSTA1_HUMAN;H18_HUMAN;CARL1_HUMAN;CALX_HUMAN;CH3L1_HUMAN;H2A2A_HUMAN;ENTP1_HUMAN;MEGF8_HUMAN;MGT5A_HUMAN;PROM1_HUMAN;BST2_HUMAN;CHM1B_HUMAN;PALS2_HUMAN;HBB_HUMAN;DMBT1_HUMAN;MUC5B_HUMAN;P3C2A_HUMAN;PAL4A_HUMAN;HTRA1_HUMAN;PAIRB_HUMAN;LDHB_HUMAN;NPNT_HUMAN;PLOD2_HUMAN;RL5_HUMAN;RENR_HUMAN;ML12A_HUMAN;ML12B_HUMAN;NEUR1_HUMAN;NEBL_HUMAN;PPIB_HUMAN;RHG23_HUMAN;RUSC2_HUMAN;RL31_HUMAN;SPTN4_HUMAN;PSB3_HUMAN;RL34_HUMAN;SUCR1_HUMAN;PODXL_HUMAN;PKRI1_HUMAN;SEPT7_HUMAN;SLC31_HUMAN;RNF11_HUMAN;SAP3_HUMAN;S22AD_HUMAN;ROA2_HUMAN;RS16_HUMAN;RS2_HUMAN;S10A6_HUMAN;TGM1_HUMAN;TBB8_HUMAN;TPM4_HUMAN;PA1B2_HUMAN;PAP1M_HUMAN;MRCKA_HUMAN;TBB4B_HUMAN;PSME1_HUMAN;PRDX1_HUMAN;SODE_HUMAN;SNAB_HUMAN;RL23_HUMAN;PLCG2_HUMAN;SDCB2_HUMAN;SPB3_HUMAN;SPB9_HUMAN;STX4_HUMAN;VIME_HUMAN;RL12_HUMAN;RS3_HUMAN;FABPL_HUMAN;PHP14_HUMAN;RS3A_HUMAN;VP37D_HUMAN;CR1_HUMAN;PSMA8_HUMAN;RS11_HUMAN;RS28_HUMAN;RS29_HUMAN;WWP1_HUMAN;WNT7B_HUMAN;OSBL1_HUMAN;TXTP_HUMAN;UB2V1_HUMAN;VWA1_HUMAN;VAMP8_HUMAN;PUR2_HUMAN;PPIA_HUMAN;RHOQ_HUMAN;RHOB_HUMAN;PIP_HUMAN;TGBR3_HUMAN;TTYH3_HUMAN;SYSC_HUMAN;VPS50_HUMAN;MYH9_HUMAN;PXL2B_HUMAN;UBE2N_HUMAN;PPIC_HUMAN;RS20_HUMAN;TCPD_HUMAN;TPM3_HUMAN;UBB_HUMAN;UPK1B_HUMAN;VPS4A_HUMAN;UPK2_HUMAN;PTGDS_HUMAN;PODO_HUMAN;PP1B_HUMAN;RAP2B_HUMAN;RAB13_HUMAN;RB22A_HUMAN;RALA_HUMAN;RAN_HUMAN;RADI_HUMAN;A1AT_HUMAN;AK1A1_HUMAN;CBPB2_HUMAN;ADHX_HUMAN;C1R_HUMAN;CD9_HUMAN;ARP3B_HUMAN;ARRD1_HUMAN;ASSY_HUMAN;ARSA_HUMAN;ATAD2_HUMAN;A1BG_HUMAN;ARF5_HUMAN;FAM3C_HUMAN;FTCD_HUMAN;CH10_HUMAN;FBLN3_HUMAN;LFG3_HUMAN;GSTT2_HUMAN;NUCB2_HUMAN;DDX5_HUMAN;GPDA_HUMAN;H33_HUMAN;MYO1B_HUMAN;NDRG2_HUMAN;HLAC_HUMAN;IGSF8_HUMAN;K2C8_HUMAN;HEBP1_HUMAN;MOB1A_HUMAN;CPNS1_HUMAN;CUL3_HUMAN;DNJB1_HUMAN;IF4E_HUMAN;ECH1_HUMAN;CSK_HUMAN;BHLH9_HUMAN;ACE2_HUMAN;1433Z_HUMAN;AL1A1_HUMAN;CALL3_HUMAN;AGRG1_HUMAN;ARF4_HUMAN;AMPN_HUMAN;CLTRN_HUMAN;CO1A2_HUMAN;CHSTE_HUMAN;CLIC3_HUMAN;CLIC5_HUMAN;GELS_HUMAN;A1AG2_HUMAN;ATNG_HUMAN;ACO11_HUMAN;1433E_HUMAN;ACTN1_HUMAN;COFA1_HUMAN;AGRIN_HUMAN;CAB45_HUMAN;ARC1A_HUMAN;CC105_HUMAN;DPP2_HUMAN;DYHC1_HUMAN;A1AG1_HUMAN;ARF6_HUMAN;CD79B_HUMAN;AT1B1_HUMAN;AMBP_HUMAN;CRTP1_HUMAN;ES8L2_HUMAN"	"265/1786"
"PC1(top10%)"	"GO"	"0003723"	"RNA binding "	"1288/17829"	10.3023516237402	7.22418531605811	1.4547134627361e-06	0.00969421051567336	1.42609182530795	"MEX3A_HUMAN;PHAX_HUMAN;PEBP1_HUMAN;PDCD4_HUMAN;RS15A_HUMAN;RBM5_HUMAN;RBM8A_HUMAN;RBMX2_HUMAN;ROA1_HUMAN;RL35A_HUMAN;RS26_HUMAN;SYYC_HUMAN;RL13A_HUMAN;RU1C_HUMAN;RU2A_HUMAN;RT24_HUMAN;SF3B1_HUMAN;SNW1_HUMAN;TR150_HUMAN;SRSF5_HUMAN;RL26_HUMAN;SHFL_HUMAN;SFPQ_HUMAN;RL7L_HUMAN;RLA0_HUMAN;RL6_HUMAN;RS12_HUMAN;RSSA_HUMAN;SPB1_HUMAN;STPAP_HUMAN;MDHM_HUMAN;H10_HUMAN;HNRPU_HUMAN;MAZ_HUMAN;ILF2_HUMAN;HS71A_HUMAN;1433G_HUMAN;HEAT6_HUMAN;KAT3_HUMAN;LC7L3_HUMAN;FPPS_HUMAN;HMGB1_HUMAN;DAZP1_HUMAN;IMDH1_HUMAN;HMGB3_HUMAN;HNRPD_HUMAN;HNRPF_HUMAN;HNRPK_HUMAN;NOL12_HUMAN;MEX3D_HUMAN;EIF3A_HUMAN;FAKD1_HUMAN;FUS_HUMAN;NSA2_HUMAN;MMTA2_HUMAN;ENPL_HUMAN;EXOS3_HUMAN;BCCIP_HUMAN;AGO1_HUMAN;CAVN1_HUMAN;DDX3Y_HUMAN;HMGN5_HUMAN;ERH_HUMAN;FAKD4_HUMAN;EXOS6_HUMAN;FIP1_HUMAN;ANX11_HUMAN;H12_HUMAN;K1C18_HUMAN;FWCH2_HUMAN;FUBP1_HUMAN;FBLL1_HUMAN;FCF1_HUMAN;CALX_HUMAN;BST2_HUMAN;PAX6_HUMAN;HNRH3_HUMAN;PGS2_HUMAN;ERF3B_HUMAN;PAIRB_HUMAN;PTH_HUMAN;RL36_HUMAN;RL5_HUMAN;RL39_HUMAN;NCBP2_HUMAN;MEPCE_HUMAN;NP1L1_HUMAN;PPIB_HUMAN;SMN_HUMAN;RU17_HUMAN;SARNP_HUMAN;RL31_HUMAN;SRSF3_HUMAN;RS4Y1_HUMAN;RL15_HUMAN;PTCD1_HUMAN;RRP8_HUMAN;NUP42_HUMAN;RL34_HUMAN;SF01_HUMAN;RS6_HUMAN;SRSF9_HUMAN;RL29_HUMAN;RL7A_HUMAN;RL9_HUMAN;ROA2_HUMAN;RL17_HUMAN;RS16_HUMAN;RS2_HUMAN;PAP1M_HUMAN;PCD20_HUMAN;PRDX1_HUMAN;RS10_HUMAN;RL18_HUMAN;RL23_HUMAN;SSRP1_HUMAN;SBDS_HUMAN;RUXG_HUMAN;RL12_HUMAN;RL7_HUMAN;RS3_HUMAN;SCG3_HUMAN;SF3B5_HUMAN;NXF5_HUMAN;GNL3L_HUMAN;RM04_HUMAN;RS3A_HUMAN;SMBP2_HUMAN;CSDC2_HUMAN;RS11_HUMAN;SRRM2_HUMAN;RS28_HUMAN;RBM39_HUMAN;PNO1_HUMAN;VSIG8_HUMAN;TSN_HUMAN;PPIA_HUMAN;RL21_HUMAN;UNC50_HUMAN;YBOX3_HUMAN;SYSC_HUMAN;TENS1_HUMAN;ZMAT3_HUMAN;ZN207_HUMAN;ZNFX1_HUMAN;MYH9_HUMAN;PCID2_HUMAN;UBE2N_HUMAN;RS20_HUMAN;TCPD_HUMAN;ZN346_HUMAN;THOC6_HUMAN;TBCA_HUMAN;THUM1_HUMAN;TTP_HUMAN;MSI2H_HUMAN;RCC2_HUMAN;RALYL_HUMAN;RAN_HUMAN;RADI_HUMAN;ABEC1_HUMAN;ATX1L_HUMAN;ASSY_HUMAN;CCD47_HUMAN;ICAL_HUMAN;IF2B2_HUMAN;CH10_HUMAN;EIF3G_HUMAN;HNRC1_HUMAN;HNRL1_HUMAN;NUCKS_HUMAN;NPM_HUMAN;DDX5_HUMAN;NOC2L_HUMAN;HNRPR_HUMAN;EIF3C_HUMAN;DDX18_HUMAN;IF4E_HUMAN;EBP2_HUMAN;1433Z_HUMAN;CIRBP_HUMAN;CISD2_HUMAN;1433E_HUMAN;BTF3_HUMAN;DYHC1_HUMAN"	"185/1786"
"PC1(top10%)"	"GO"	"0022625"	"cytosolic large ribosomal subunit "	"54/17829"	1.17581187010078	0.302877334679455	1.45596327196049e-06	0.00970253924434471	3.88213885778275	"RL10L_HUMAN;RL35A_HUMAN;RL13A_HUMAN;RL26_HUMAN;RL7L_HUMAN;RLA0_HUMAN;RL6_HUMAN;RL36_HUMAN;RL5_HUMAN;RL39_HUMAN;RL31_HUMAN;RL15_HUMAN;RL34_HUMAN;RL29_HUMAN;RL7A_HUMAN;RL9_HUMAN;RL17_HUMAN;RL18_HUMAN;RL23_HUMAN;RL12_HUMAN;RL7_HUMAN;RL21_HUMAN"	"22/1786"
"PC1(top10%)"	"GO"	"0005925"	"focal adhesion "	"392/17829"	4.03135498320269	2.1986650961916	3.06768190052921e-06	0.0204430321851266	1.83354663253879	"LIMA1_HUMAN;PDLI1_HUMAN;PEAK1_HUMAN;RAB21_HUMAN;RASK_HUMAN;RL13A_HUMAN;RLA0_HUMAN;RL6_HUMAN;HS71A_HUMAN;1433G_HUMAN;LMO7_HUMAN;COF1_HUMAN;IRF2_HUMAN;HNRPK_HUMAN;NFASC_HUMAN;ENPL_HUMAN;JAK1_HUMAN;ITA3_HUMAN;FZD1_HUMAN;EVL_HUMAN;DPP4_HUMAN;MMP14_HUMAN;MPZL1_HUMAN;PALLD_HUMAN;COR1C_HUMAN;RL5_HUMAN;MUC18_HUMAN;PPIB_HUMAN;RL31_HUMAN;RL7A_HUMAN;RL9_HUMAN;RS16_HUMAN;SRC8_HUMAN;RS2_HUMAN;TPM4_HUMAN;SNTB1_HUMAN;RS10_HUMAN;RL18_HUMAN;RL23_HUMAN;VIME_HUMAN;PAK4_HUMAN;RL12_HUMAN;RL7_HUMAN;RS3_HUMAN;RS3A_HUMAN;TSN4_HUMAN;RS11_HUMAN;RS29_HUMAN;PPIA_HUMAN;RHOB_HUMAN;TENS1_HUMAN;MYH9_HUMAN;RHG26_HUMAN;UPAR_HUMAN;PP1B_HUMAN;RALA_HUMAN;RADI_HUMAN;CD9_HUMAN;NPM_HUMAN;FOCAD_HUMAN;L1CAM_HUMAN;1433Z_HUMAN;AB1IP_HUMAN;CD99_HUMAN;GELS_HUMAN;1433E_HUMAN;ACTN1_HUMAN;AKA12_HUMAN;ARF6_HUMAN;ARL2_HUMAN;BORG5_HUMAN;CAV1_HUMAN;ARHG7_HUMAN"	"73/1786"
"PC1(top10%)"	"GO"	"0022627"	"cytosolic small ribosomal subunit "	"41/17829"	0.83986562150056	0.229962420775142	7.94520955962766e-05	0.529468765053587	3.65218638188621	"RS15A_HUMAN;RS26_HUMAN;RS12_HUMAN;RSSA_HUMAN;HBA_HUMAN;RS4Y1_HUMAN;RS6_HUMAN;RS16_HUMAN;RS2_HUMAN;RS10_HUMAN;RS3_HUMAN;RS3A_HUMAN;RS11_HUMAN;RS28_HUMAN;RS29_HUMAN;RS20_HUMAN"	"16/1786"
"PC1(top10%)"	"GO"	"0000978"	"RNA polymerase II cis-regulatory region sequence-specific DNA binding "	"1124/17829"	8.3986562150056	6.30433563295754	0.000360174264079264	1	1.33220321759195	"PITX1_HUMAN;PITX2_HUMAN;SP7_HUMAN;NFIB_HUMAN;TR150_HUMAN;SPIB_HUMAN;RORA_HUMAN;HIC1_HUMAN;HNRPU_HUMAN;MAZ_HUMAN;DACH1_HUMAN;DLX4_HUMAN;H2AZ_HUMAN;KDM6B_HUMAN;IRX5_HUMAN;IRF2_HUMAN;HEN2_HUMAN;HDAC4_HUMAN;HDAC5_HUMAN;IRF9_HUMAN;CLOCK_HUMAN;EOMES_HUMAN;EMX1_HUMAN;KLF1_HUMAN;KLF4_HUMAN;KLF8_HUMAN;CHD7_HUMAN;DUX4_HUMAN;DLX1_HUMAN;ELK1_HUMAN;HES7_HUMAN;FOXD2_HUMAN;FX4L5_HUMAN;MGAP_HUMAN;PAX6_HUMAN;HSFX1_HUMAN;NR4A1_HUMAN;DLX2_HUMAN;PRDM5_HUMAN;FOXF2_HUMAN;NFAC4_HUMAN;NR1D2_HUMAN;NR1H2_HUMAN;OTX1_HUMAN;NRIP1_HUMAN;SOX10_HUMAN;SOX4_HUMAN;SOX2_HUMAN;SP9_HUMAN;RXRG_HUMAN;SOX12_HUMAN;SP8_HUMAN;SALL4_HUMAN;STA5A_HUMAN;ZN141_HUMAN;TEAD1_HUMAN;MAD3_HUMAN;ZNF28_HUMAN;ZN131_HUMAN;ZN431_HUMAN;ZIC3_HUMAN;TF2L1_HUMAN;ZNF43_HUMAN;ZN544_HUMAN;PKNX2_HUMAN;TZAP_HUMAN;ZEB1_HUMAN;ZN461_HUMAN;ZN468_HUMAN;ZNF2_HUMAN;ZN417_HUMAN;ZN600_HUMAN;ZSC18_HUMAN;ZN841_HUMAN;MAFA_HUMAN;ZN430_HUMAN;ZN711_HUMAN;ZN574_HUMAN;ZN580_HUMAN;ZN543_HUMAN;ZNF90_HUMAN;ZN587_HUMAN;SYSC_HUMAN;NKX62_HUMAN;ZN853_HUMAN;ZN717_HUMAN;ZN221_HUMAN;ZN253_HUMAN;ZN761_HUMAN;ZN763_HUMAN;ZKSC1_HUMAN;ZN770_HUMAN;ZN771_HUMAN;ZN776_HUMAN;ZN267_HUMAN;ZN782_HUMAN;TBX10_HUMAN;ZN296_HUMAN;ZGPAT_HUMAN;ZN470_HUMAN;ZN208_HUMAN;ZN595_HUMAN;ZN578_HUMAN;ZN408_HUMAN;ZN816_HUMAN;ZN845_HUMAN;ZN549_HUMAN;ZN888_HUMAN;ZN697_HUMAN;ZN138_HUMAN;ZN222_HUMAN;ZN723_HUMAN;ZN737_HUMAN;ZN492_HUMAN;ZN500_HUMAN;ZN611_HUMAN;ZN616_HUMAN;ZN383_HUMAN;ZN626_HUMAN;Z280C_HUMAN;ZNF85_HUMAN;ZN879_HUMAN;ZBT7B_HUMAN;TLX1_HUMAN;ZN197_HUMAN;ZN814_HUMAN;ZNF93_HUMAN;ZFP62_HUMAN;NKX24_HUMAN;NR1D1_HUMAN;RD23B_HUMAN;ATF2_HUMAN;HXA4_HUMAN;HXB3_HUMAN;HXB4_HUMAN;HXC6_HUMAN;HXD4_HUMAN;HXA10_HUMAN;MYF6_HUMAN;NFYA_HUMAN;IRF4_HUMAN;IKZF1_HUMAN;H33_HUMAN;CRX_HUMAN;HNF1B_HUMAN;BSH_HUMAN;GLI4_HUMAN;GLIS1_HUMAN;E2F5_HUMAN;DLX6_HUMAN;CDK9_HUMAN"	"151/1786"
