"","Dim.1","Dim.2","Dim.3","Dim.4"
"A1BG_HUMAN",0.00318518433484576,0.00581257310554311,0.00826806979813014,0.00486363700918123
"A1CF_HUMAN",0.00178293969937578,0.000388550499971049,0.0192649676839235,0.000944573397202808
"A2MG_HUMAN",0.0176557057533728,0.00171269689194721,0.000166851201543348,0.000281030273548217
"A2ML1_HUMAN",0.00769911025572318,0.0116327560350668,0.000568178554745123,0.000642721040685035
"A3LT2_HUMAN",0.00141484386810046,0.00542774042948401,0.0149196511410239,0.000185406871589467
"A4GAT_HUMAN",0.00011421340374742,0.0023925558816728,0.0111095933993227,0.00975571985438224
"A4GCT_HUMAN",0.0026869728409595,0.0110393509532091,0.00720147145645353,0.000391942021901999
"AAAS_HUMAN",0.00203732297207598,0.0100474196172295,0.00917817046144693,0.000217611982836184
"AACS_HUMAN",5.57544225730852e-05,0.00248879908143998,2.26238536424533e-05,0.0220681694934417
"AAAD_HUMAN",0.0129431579561404,3.49102243144792e-05,0.00544981838363441,0.00245757315346265
"ADCL2_HUMAN",0.000576060289586041,0.0173442672267599,3.17335089900066e-05,0.00348866598461658
"ADCL3_HUMAN",0.0101613025848015,2.42657187017137e-05,0.00663045407438383,0.00472100923286322
"ADCL4_HUMAN",0.00203829018287233,0.00716202401393695,0.00638446877855513,0.0068064108308734
"AADAT_HUMAN",0.000865009545093496,0.00251522466802357,0.01440309428816,0.00497569629653823
"AAGAB_HUMAN",0.0065476707310262,0.000532633997081626,0.00704302535212927,0.00828105654541668
"AAK1_HUMAN",0.00228703245993333,0.000866431139035419,0.0173482923479519,0.00185809924651905
"AAMDC_HUMAN",0.00767103756924551,3.98237890943101e-05,0.00886020414069841,0.00541011291723109
"AAMP_HUMAN",2.65165583926624e-05,0.000214303693932562,0.0187265275501224,0.00400610054976962
"SNAT_HUMAN",0.002236338907228,0.00891482154898013,0.00700036643544794,0.00375397258318521
"AAR2_HUMAN",0.0098854203833906,0.00238871615152927,0.00476004281873334,0.00430934090216846
"AARD_HUMAN",0.011979198131083,3.50309094071906e-05,0.0041280644016312,0.00516589144888319
"SYAC_HUMAN",0.00740663959979092,0.012134021373055,0.00064508126708368,0.000327880973327944
"SYAM_HUMAN",0.0108438046526871,0.00383490627848118,0.00592657540426521,3.81702840979252e-05
"AASD1_HUMAN",0.00214482692062896,0.017915978634958,0.000412047142404125,0.000364903860009533
"ACSF4_HUMAN",0.000392786599051005,0.00273081952435377,0.00837007972377833,0.0120434319351411
"ADPPT_HUMAN",0.000241281174396973,0.0189422203674503,0.00137457652813974,0.000495885266743409
"AASS_HUMAN",0.000781087924883549,0.0158507069127155,0.000796916240013272,0.00417313686503633
"AATF_HUMAN",0.00545419232499186,0.00740178999752795,0.00228317140469772,0.00670836737489907
"LMTK1_HUMAN",7.52251596564823e-05,0.000492866104636933,0.0135408856928959,0.00938598899290199
"GABT_HUMAN",0.000166534412717415,0.00225862468522115,0.0107928705049311,0.0102029531996365
"ABCA1_HUMAN",0.0111650908583041,0.00744526684388571,0.000474798094102689,0.00135001516741557
"ABCAA_HUMAN",0.0058062434162209,6.81113360239475e-05,0.00046729360767262,0.0171182165008914
"ABCAC_HUMAN",0.0132037283534999,0.000500068137546222,0.000478612504696316,0.00710207299421199
"ABCAD_HUMAN",0.00330108739999952,0.000541687699038451,0.0128692009173549,0.00594027351612512
"ABCA2_HUMAN",0.00671840868528302,0.000322830355330804,0.00303162713406703,0.0127846606701486
"ABCA3_HUMAN",0.00837774345263729,0.011930255065933,3.23075073252941e-05,1.133757902723e-05
"ABCA4_HUMAN",0.00762158507519821,0.01048419594683,0.00246328262802074,1.4642940838167e-05
"ABCA5_HUMAN",0.00537002878132456,0.0102634837411424,0.000167209860892882,0.00572530278199192
"ABCA6_HUMAN",0.00644387736788617,0.00502097331024736,0.00625304551817951,0.00388542538950045
"ABCA7_HUMAN",0.00302127080135243,0.00626518986460213,0.00437932495258283,0.00886128810933332
"ABCA8_HUMAN",0.000873868524804221,0.0122022750391388,0.00407183104409453,0.0048019086023571
"ABCA9_HUMAN",0.000337916908067719,0.0116835033253356,0.00277875190599338,0.00755492292577376
"MDR1_HUMAN",0.00296877088465568,0.0172521810223937,0.000499601353418879,1.10623457438772e-05
"ABCBA_HUMAN",0.00295424997132708,0.000686881093247111,0.0172430041911135,0.00133647219048196
"ABCBB_HUMAN",0.00151879429611036,0.00181187498232536,0.0184039324356265,0.000527330370253567
"MDR3_HUMAN",0.00746695703841863,0.00370169268409868,0.000278229502906966,0.0108211391492414
"ABCB5_HUMAN",0.00377183891524438,0.00450363593419581,0.013251140651217,0.000136683237052845
"ABCB6_HUMAN",0.0141649399926474,0.000919418515933215,3.91639891119172e-06,0.00589344009667054
"ABCB7_HUMAN",0.00353670120590924,0.0130877419323776,5.09134356807791e-05,0.00480154167975028
"MITOS_HUMAN",9.27758700955991e-05,0.00245817588426965,0.0140341265442156,0.0064455041360599
