"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"A1BG_HUMAN",0.00478378394941659,0.000514924061274984,0.00156833317392728,0.00869776872630052,0.0167379591884029
"A1CF_HUMAN",0.0145671241986947,0.000223816581282602,0.000640239051013199,9.04138524136373e-06,0.0106301506657264
"A2MG_HUMAN",0.0157242695253347,0.0283543808074749,0.0261329240671595,0.00140381744054977,0.00083777611974171
"A2ML1_HUMAN",0.00588135063655633,0.00243849014186532,0.000156060642412776,0.00192933410268273,0.000175400137414451
"A3LT2_HUMAN",0.00241382317411209,0.000895365010554358,0.00198088526290194,0.000103118579608062,0.00774102901368261
"A4GAT_HUMAN",0.00708385994328747,0.00183000882720656,0.00109808822035736,1.88520048445091e-05,3.5495094098319e-08
"A4GCT_HUMAN",0.0038330080772216,0.00403117473499982,0.00107921463041116,0.0042469349077423,0.000992542453200208
"AAAS_HUMAN",0.00556966293268685,0.0031943972831674,0.00321737051960108,0.00353863536618477,0.00186386087179401
"AACS_HUMAN",0.00724200008926654,0.00343989094863959,0.0108775350975338,0.000592848307998806,0.00224804014035541
"AAAD_HUMAN",0.00375558981011779,0.00139637633759813,1.21088624636977e-05,0.00424252623639138,0.00161389717498977
"ADCL2_HUMAN",0.00648068102112089,0.00229524307684904,0.000518648754326935,0.000812508141836021,0.0028659801752135
"ADCL3_HUMAN",0.00707832749583962,0.00352015122617376,0.00705917323315159,0.0065218837954602,0.00440676943808595
"ADCL4_HUMAN",0.0117865495901903,0.000623763825514098,0.000563173475496603,0.00086456455378774,0.00393726659180946
"AADAT_HUMAN",0.00337761925547457,0.00333235685193871,0.000457461123223628,0.000164755076842638,0.0155066931581488
"AAGAB_HUMAN",0.000835599259554648,0.0068154351870547,0.00164028073458519,0.00150728068624293,0.00162746074837537
"AAK1_HUMAN",0.00590713576215886,4.66631375689052e-05,0.00015550910914751,0.0247055498360427,0.00509902277155647
"AAMDC_HUMAN",0.000357813206658418,0.000677035679931048,0.000776702890348579,0.000272685091026399,0.00113293780862462
"AAMP_HUMAN",0.000225614983870351,0.0587651735450429,0.0109855201147739,0.00266578003558936,0.0121701200011253
"SNAT_HUMAN",0.00339442153777572,0.000431722772578684,0.00600184658771245,0.0099476218505107,0.0127869190004683
"AAR2_HUMAN",1.38304014218706e-05,0.000137007133221952,0.00196555980212585,0.000319859112308814,0.00586179563180461
"AARD_HUMAN",0.00589990605693278,1.12854816130999e-05,0.000971965382662742,0.00363326910213591,0.000129873378959017
"SYAC_HUMAN",0.0011924687386902,0.0206381512337831,0.00141678392879563,0.00181304197555184,0.00931213120844498
"SYAM_HUMAN",0.00818954465550255,0.00592377711379922,0.00457178170848951,0.00072012013989165,0.0208181940167639
"AASD1_HUMAN",0.000154726308001265,0.00103110322566538,1.63984931181257e-05,0.0012460614436715,0.00348780640002967
"ACSF4_HUMAN",0.00324745194259072,0.000222612427612798,0.00178990012285506,0.0120426852989132,2.55681344902888e-05
"ADPPT_HUMAN",0.00800400115233581,0.00179943365106022,0.00474293143032528,0.0200758408828878,0.000383957744039178
"AASS_HUMAN",4.50190756422902e-06,0.000549997317088978,0.000597511402102675,0.00784947317382794,2.56208559007252e-05
"AATF_HUMAN",0.00060069856561137,0.00129141555035373,0.000648293447278171,0.00287385506286097,0.00635644171551895
"LMTK1_HUMAN",0.00320272564282926,0.0106735984507786,0.000120260308703737,0.00942038630045456,0.00842645129992912
"GABT_HUMAN",0.0237123071557853,0.00841932686500437,0.00429339165264775,0.0011115140661145,2.62293812073646e-07
"ABCA1_HUMAN",0.0114798515463833,0.00120115921021433,0.000967929091103288,0.0013692956675402,0.0151761851096322
"ABCAA_HUMAN",0.0091754159737033,0.00167726712838784,5.84256390833288e-05,0.00293366792582164,0.00836519235467989
"ABCAC_HUMAN",0.0053480190434542,0.000899699882411881,5.45249301772566e-06,0.0027689363445887,0.00203033092788118
"ABCAD_HUMAN",0.0124428886336843,0.000397225068473169,0.00854023777854899,2.96320550807822e-05,0.000888800309693631
"ABCA2_HUMAN",0.00229222414557392,0.000784109933915621,0.00938579836825608,0.0156058061110166,0.00574157195390925
"ABCA3_HUMAN",0.00548413587689031,0.000416462795224154,0.00283307221018495,0.0225444929229245,0.00409057149648631
"ABCA4_HUMAN",0.00689653854972135,2.05794739428188e-06,9.14371445818452e-06,0.00367638692702556,0.000130084104467079
"ABCA5_HUMAN",0.0058982288090759,0.01859952758573,0.000170530048600701,0.000186999536603125,0.00133927351953778
"ABCA6_HUMAN",0.0114364923419259,0.000343100626775045,3.24164260734954e-06,2.44530818083558e-07,0.0212778400195588
"ABCA7_HUMAN",0.00984450468130825,0.0041187323612519,0.000875706032040156,0.00128681319106321,0.00754927058780392
"ABCA8_HUMAN",0.0133008880842044,0.00878473500371966,0.000925761104162114,0.00799679966789996,0.00758975382081553
"ABCA9_HUMAN",0.00974351321067296,0.000529955377162593,0.00141836239780911,0.00149307420952908,0.00225086686732043
"MDR1_HUMAN",0.0154467213228412,0.00208861510909873,0.000452994596760978,0.000205999022357188,0.00454123226268815
"ABCBA_HUMAN",0.000321776952857803,0.00242470770398351,0.00102803390099136,0.00555017965432885,0.00226072295192512
"ABCBB_HUMAN",0.0101981798444584,0.00503916385862579,0.00120077926693144,6.86436831166065e-05,0.00288498703749939
"MDR3_HUMAN",0.00292820408196291,0.000269048112117291,2.97146876597038e-05,0.000104150657492977,0.000739782117718171
"ABCB5_HUMAN",0.00500611399507407,0.00361875796504792,0.000190535248940537,0.000254894306875063,0.00402680581023657
"ABCB6_HUMAN",0.0114413864510045,0.00340927790075637,1.8560645245178e-05,0.00292876528436776,0.000143602499464933
"ABCB7_HUMAN",0.00626917200728036,0.000740528088382117,3.96982740510516e-05,0.00496744178294614,0.0028087990845607
"MITOS_HUMAN",0.00389201658329034,0.0052958718748752,0.000590440632863774,0.0164287769001858,0.00015113572217096
"ABCB9_HUMAN",0.00574294043885415,0.000184510597800601,0.0141519729963011,0.0159287242891627,0.00261773328783606
"MRP1_HUMAN",0.0139301327866428,0.0178488315897318,0.0305691071426693,0.00919343203603542,6.09970841503238e-05
"MRP7_HUMAN",0.00710417701393182,0.000997377093932817,0.000632190378217119,0.00846087100494709,0.00229889460417323
"MRP8_HUMAN",0.00971946395783437,0.00188281693083546,0.00420457707365178,0.000320114150651633,0.00337603112561655
"MRP9_HUMAN",0.00724312333774296,0.00168371309670178,0.00145185998540899,0.00335283065658248,0.00231489637767987
"MRP2_HUMAN",0.0242616040483853,0.00133863029012286,0.0050697246754763,0.0064182196252064,0.000479714790482254
"MRP3_HUMAN",0.00518727814866789,0.0276303640833717,8.22640486430261e-08,0.00209143038643838,8.12593767187439e-05
"MRP4_HUMAN",0.0076038589228258,0.00825928494641662,0.0042047621761553,0.00328653784907545,0.00868518888051486
"MRP5_HUMAN",0.00105687981478795,0.0155343072919547,0.000292843323601488,0.00160345922106793,0.000119446302009547
"MRP6_HUMAN",0.0204169105094837,0.000674536931337915,0.00548632753307327,0.000626634803225818,0.013819634103526
"ABCC8_HUMAN",0.00465690503348077,0.0122392998716965,0.000124725927012973,0.0117808545905181,0.0020038257843738
"ABCC9_HUMAN",0.00595208857650642,0.000324436001073104,0.00274502225927068,0.00162204287619556,0.000748569609778837
"ABCD1_HUMAN",0.0110375655188658,0.00110021401623592,0.00355340701275942,0.0028825509197243,0.00260700532363966
