"","IDs","Slide_20.B.00423_Glo_ROI_1","Slide_20.B.00423_Glo_ROI_2","Slide_20.B.00423_Glo_ROI_3","Z_scores_Slide_20.B.00423_Glo_ROI_1","Z_scores_Slide_20.B.00423_Glo_ROI_2","Z_scores_Slide_20.B.00423_Glo_ROI_3","hclust_clusters"
"A1BG_HUMAN","A1BG@A1BG_HUMAN",2.65535182861255,3.0703893278914,3.95419631038688,-0.861198097088589,-0.235549116789998,1.09674721387859,1
"A1CF_HUMAN","A1CF@A1CF_HUMAN",3.30742852519225,3.62058641045188,3.36457243229586,-0.740137938202691,1.13762800547888,-0.397490067276182,2
"A2MG_HUMAN","A2M@A2MG_HUMAN",8.14465824283188,8.81249822533356,6.17592374206376,0.316350130214364,0.803563956839529,-1.11991408705389,3
"A2ML1_HUMAN","A2ML1@A2ML1_HUMAN",3.30742852519225,2.13750352374994,3.68929916053589,0.324879617106716,-1.12204385491386,0.797164237807143,1
"A3LT2_HUMAN","A3GALT2@A3LT2_HUMAN",2.65535182861255,3.15380533607904,2.70043971814109,-0.657189582559947,1.15083343634053,-0.493643853780578,3
"A4GAT_HUMAN","A4GALT@A4GAT_HUMAN",4.16992500144231,4.10433665981474,4.0703893278914,1.08779323468498,-0.208442583337552,-0.879350651347431,4
"A4GCT_HUMAN","A4GNT@A4GCT_HUMAN",3.16992500144231,2.67807190511264,3.16992500144231,0.577350269189626,-1.15470053837925,0.577350269189626,1
"AAAS_HUMAN","AAAS@AAAS_HUMAN",4.16992500144231,4.46597446450407,3.95419631038688,-0.104202768520615,1.04802122906434,-0.943818460543717,3
"AACS_HUMAN","AACS@AACS_HUMAN",3.01792190799726,3.49825086752783,3.82781902461732,-1.05596845900217,0.123388183803101,0.932580275199065,2
"AAAD_HUMAN","AADAC@AAAD_HUMAN",2.84799690655495,3.21723071622067,3.16992500144231,-1.1466711970603,0.691059319055014,0.455611878005291,2
"ADCL2_HUMAN","AADACL2@ADCL2_HUMAN",3.16992500144231,3.29278174922785,3.68929916053589,-0.788679163795899,-0.336063650875324,1.12474281467123,1
"ADCL3_HUMAN","AADACL3@ADCL3_HUMAN",2.84799690655495,1.96347412397489,1.96347412397489,1.15470053837925,-0.577350269189626,-0.577350269189626,4
"ADCL4_HUMAN","AADACL4@ADCL4_HUMAN",2.65535182861255,3.36457243229586,4.17791779219584,-0.976443285369387,-0.0455562913316706,1.02199957670106,2
"AADAT_HUMAN","AADAT@AADAT_HUMAN",2.65535182861255,2.67807190511264,3.68929916053589,-0.596481408512586,-0.558005432654193,1.15448684116678,1
"AAGAB_HUMAN","AAGAB@AAGAB_HUMAN",3.75488750216347,3.43295940727611,3.53605290024021,1.09646942679374,-0.861788691333613,-0.234680735460124,4
"AAK1_HUMAN","AAK1@AAK1_HUMAN",3.84799690655495,3.92599941855622,3.95419631038688,-1.11613636568789,0.301787653166468,0.814348712521424,2
"AAMDC_HUMAN","AAMDC@AAMDC_HUMAN",3.16992500144231,3.29278174922785,3.53605290024021,-0.874741351847291,-0.215408517622138,1.09014986946943,1
"AAMP_HUMAN","AAMP@AAMP_HUMAN",4.65535182861255,4.76022094646651,4.8923910259134,-0.959489400772403,-0.0766140573897983,1.03610345816221,2
"SNAT_HUMAN","AANAT@SNAT_HUMAN",2.16992500144231,3.43295940727611,4.37155886261196,-1.04534383320638,0.0978870265905606,0.947456806615821,2
"AAR2_HUMAN","AAR2@AAR2_HUMAN",4.09592441999854,4.14567745519564,3.36457243229586,0.519530980972452,0.633299831792807,-1.15283081276526,3
"AARD_HUMAN","AARD@AARD_HUMAN",1.43295940727611,2.98185265328974,3.68929916053589,-1.09912070152056,0.24304727988612,0.856073421634443,2
"SYAC_HUMAN","AARS1@SYAC_HUMAN",4.09592441999854,4.26303440583379,3.95419631038688,-0.0547284625858053,1.02624039806096,-0.971511935475149,3
"SYAM_HUMAN","AARS2@SYAM_HUMAN",3.01792190799726,3.62058641045188,4.27798474729977,-0.985211103337716,-0.0289491543736254,1.01416025771134,2
"AASD1_HUMAN","AARSD1@AASD1_HUMAN",3.93545974780529,4.06177619758669,4.0703893278914,-1.15282242118216,0.519399379233101,0.633423041949044,2
"ACSF4_HUMAN","AASDH@ACSF4_HUMAN",1.84799690655495,1.58496250072116,3.36457243229586,-0.434997811813665,-0.708828615970819,1.14382642778448,1
"ADPPT_HUMAN","AASDHPPT@ADPPT_HUMAN",3.84799690655495,4.14567745519564,3.95419631038688,-0.892379534663703,1.08081097292228,-0.188431438258572,2
"AASS_HUMAN","AASS@AASS_HUMAN",4.30742852519225,4.06177619758669,3.95419631038688,1.10256622048784,-0.254195922571056,-0.848370297916779,4
"AATF_HUMAN","AATF@AATF_HUMAN",3.30742852519225,2.56071495447448,4.0703893278914,-0.00717457956257595,-0.996393407060444,1.00356798662302,1
"LMTK1_HUMAN","AATK@LMTK1_HUMAN",3.01792190799726,2.88752527074159,2.70043971814109,0.935522684823783,0.118410969826647,-1.05393365465043,3
"GABT_HUMAN","ABAT@GABT_HUMAN",3.65535182861255,3.88752527074159,3.16992500144231,0.230541047948847,0.864595854113929,-1.09513690206278,3
"ABCA1_HUMAN","ABCA1@ABCA1_HUMAN",4.01792190799726,3.21723071622067,4.95419631038687,-0.0519855761698926,-0.972993260317489,1.02497883648738,1
"ABCAA_HUMAN","ABCA10@ABCAA_HUMAN",2.84799690655495,1.96347412397489,3.95419631038688,-0.0740836365077165,-0.960897914947173,1.03498155145489,1
"ABCAC_HUMAN","ABCA12@ABCAC_HUMAN",3.16992500144231,3.0703893278914,4.0703893278914,-0.484645109286824,-0.665333403599177,1.149978512886,1
"ABCAD_HUMAN","ABCA13@ABCAD_HUMAN",2.65535182861255,3.21723071622067,3.36457243229586,-1.13210827791303,0.369208678479039,0.762899599433994,2
"ABCA2_HUMAN","ABCA2@ABCA2_HUMAN",3.54843662469604,3.97269265400426,2.94485844580754,0.115725084614165,0.937102672458381,-1.05282775707254,3
"ABCA3_HUMAN","ABCA3@ABCA3_HUMAN",4.16992500144231,3.43295940727611,3.53605290024021,1.14502740915273,-0.701680938102296,-0.443346471050433,4
"ABCA4_HUMAN","ABCA4@ABCA4_HUMAN",1.84799690655495,2.29278174922785,3.82781902461732,-0.778061233844703,-0.349864191078791,1.12792542492349,1
"ABCA5_HUMAN","ABCA5@ABCA5_HUMAN",3.65535182861255,3.15380533607904,3.36457243229586,1.04873802100248,-0.942832177910098,-0.105905843092379,4
