"","IDs","Slide_19.B.01576_Glo_ROI_1","Slide_19.B.01576_Glo_ROI_5","Slide_19.B.01576_Glo_ROI_6","Slide_19.B.01576_Glo_ROI_7","Z_scores_Slide_19.B.01576_Glo_ROI_1","Z_scores_Slide_19.B.01576_Glo_ROI_5","Z_scores_Slide_19.B.01576_Glo_ROI_6","Z_scores_Slide_19.B.01576_Glo_ROI_7","hclust_clusters"
"A1BG_HUMAN","A1BG@A1BG_HUMAN",3.15380533607904,2.90689059560852,3.05311133645956,4.26303440583379,-0.306669301422136,-0.704353911570348,-0.46884857798791,1.4798717909804,1
"A1CF_HUMAN","A1CF@A1CF_HUMAN",4.14567745519564,3.49825086752783,3.26303440583379,3.73335434061383,1.29014697609076,-0.429948928565842,-1.05487672760043,0.194678680075512,2
"A2MG_HUMAN","A2M@A2MG_HUMAN",7.35579154675365,7.07895134139482,7.01680828768655,7.456149034648,0.607043135809647,-0.69705027892936,-0.989783579743397,1.07979072286311,2
"A2ML1_HUMAN","A2ML1@A2ML1_HUMAN",3.56071495447448,2.48542682717024,3.4594316186373,0.584962500721156,0.752367122359314,-0.0269665233183409,0.678960275059445,-1.40436087410042,3
"A3LT2_HUMAN","A3GALT2@A3LT2_HUMAN",3.56071495447448,1.92599941855622,2.4594316186373,3.15380533607904,1.0822691531602,-1.16940594875298,-0.434650587902611,0.521787383495393,2
"A4GAT_HUMAN","A4GALT@A4GAT_HUMAN",4.37155886261196,4.37155886261196,4.04439411935845,4.56071495447448,0.160835000344519,0.160835000344519,-1.3642734928851,1.04260349219607,2
"A4GCT_HUMAN","A4GNT@A4GCT_HUMAN",2.88752527074159,3.23266075679027,2.78659636189081,2.88752527074159,-0.312645869877907,1.45479521216926,-0.829503472413449,-0.312645869877907,4
"AAAS_HUMAN","AAAS@AAAS_HUMAN",3.88752527074159,3.49825086752783,3.78659636189081,3.73335434061383,0.976262812225889,-1.38282666544201,0.364611172928067,0.0419526802880533,1
"AACS_HUMAN","AACS@AACS_HUMAN",2.13750352374994,3.49825086752783,3.4594316186373,3.73335434061383,-1.47885366366873,0.40249152342495,0.348820717157547,0.72754142308623,4
"AAAD_HUMAN","AADAC@AAAD_HUMAN",4.01792190799726,3.49825086752783,3.4594316186373,2.88752527074159,1.19510537285138,0.0702779300833969,-0.0137462949730214,-1.25163700796176,3
"ADCL2_HUMAN","AADACL2@ADCL2_HUMAN",2.13750352374994,3.23266075679027,3.26303440583379,2.13750352374994,-0.865863436392986,0.842177595992885,0.889549276793086,-0.865863436392986,3
"ADCL3_HUMAN","AADACL3@ADCL3_HUMAN",3.15380533607904,2.48542682717024,3.05311133645956,2.13750352374994,0.928775816219618,-0.462022265512196,0.719246306150081,-1.18599985685751,1
"ADCL4_HUMAN","AADACL4@ADCL4_HUMAN",3.73335434061383,3.49825086752783,3.26303440583379,3.88752527074159,0.504036942844794,-0.355829202792552,-1.21610859234166,1.06790085228942,2
"AADAT_HUMAN","AADAT@AADAT_HUMAN",2.88752527074159,4.23266075679027,2.4594316186373,4.14567745519564,-0.60890773089532,0.897281399138683,-1.08825721808348,0.799883549840122,4
"AAGAB_HUMAN","AAGAB@AAGAB_HUMAN",3.73335434061383,2.90689059560852,2.4594316186373,3.56071495447448,0.963255327866397,-0.43768888853418,-1.19617959021684,0.670613150884619,2
"AAK1_HUMAN","AAK1@AAK1_HUMAN",4.14567745519564,4.23266075679027,3.78659636189081,3.15380533607904,0.644609427686024,0.822051171445525,-0.087898699494598,-1.37876189963695,3
"AAMDC_HUMAN","AAMDC@AAMDC_HUMAN",3.73335434061383,3.71149490665009,3.63226821549951,2.88752527074159,0.598363608904015,0.544357695023654,0.348620245170126,-1.4913415490978,3
"AAMP_HUMAN","AAMP@AAMP_HUMAN",3.88752527074159,4.49185309632967,4.4594316186373,4.01792190799726,-1.06455082426318,0.904904295169941,0.799245342334693,-0.639598813241444,4
"SNAT_HUMAN","AANAT@SNAT_HUMAN",3.15380533607904,3.90689059560852,3.26303440583379,2.56071495447448,-0.122025134785274,1.24331150916324,0.0760061633093896,-1.19729253768736,3
"AAR2_HUMAN","AAR2@AAR2_HUMAN",3.15380533607904,3.23266075679027,3.92599941855622,3.88752527074159,-0.958118778472574,-0.767421362020003,0.909291416035138,0.816248724457441,1
"AARD_HUMAN","AARD@AARD_HUMAN",4.01792190799726,2.48542682717024,1.48542682717024,3.56071495447448,0.996869698520461,-0.354418509665826,-1.23617547260306,0.593724283748425,2
"SYAC_HUMAN","AARS1@SYAC_HUMAN",4.01792190799726,3.90689059560852,3.05311133645956,3.15380533607904,0.970610240046322,0.748403154228345,-0.960266202422024,-0.758747191852642,3
"SYAM_HUMAN","AARS2@SYAM_HUMAN",3.73335434061383,3.71149490665009,4.16188768237689,3.73335434061383,-0.4660411800281,-0.566243294831436,1.49832565488764,-0.4660411800281,3
"AASD1_HUMAN","AARSD1@AASD1_HUMAN",3.88752527074159,3.71149490665009,4.16188768237689,3.36457243229586,0.317831173028165,-0.209207900955367,1.13927872334396,-1.24790199541676,3
