"enriched_in"	"Ontology_type"	"Ontology_accession"	"Ongology_description"	"Count_query"	"Count_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"
"Cluster_1"	"GO"	"0006699"	"bile acid biosynthetic process "	"11/2691"	"25/17829"	0.408769973987365	0.140220988277525	0.00422241166790325	1	2.91518394648829	"OSBL7_HUMAN;OSBL2_HUMAN;S27A5_HUMAN;OSBL9_HUMAN;BAAT_HUMAN;CP27A_HUMAN;CP8B1_HUMAN;CP7A1_HUMAN;SCP2_HUMAN;OSBP1_HUMAN;ABCD3_HUMAN"
"Cluster_1"	"GO"	"0031093"	"platelet alpha granule lumen "	"20/2691"	"64/17829"	0.743218134522482	0.358965729990465	0.00497880991989478	1	2.07044314381271	"PCYXL_HUMAN;LFTY2_HUMAN;FETUA_HUMAN;IGF2_HUMAN;GTPB2_HUMAN;FIBA_HUMAN;FIBG_HUMAN;SCPDL_HUMAN;OLA1_HUMAN;VEGFA_HUMAN;TGFB3_HUMAN;VWF_HUMAN;VEGFC_HUMAN;A1BG_HUMAN;ALBU_HUMAN;CLUS_HUMAN;A1AG2_HUMAN;A1AG1_HUMAN;ALDOA_HUMAN;F13A_HUMAN"
"Cluster_1"	"GO"	"0015918"	"sterol transport "	"5/2691"	"5/17829"	0.185804533630621	0.0280441976555051	0.00498473053535689	1	6.62541806020067	"VAPA_HUMAN;NPC2_HUMAN;ABCG5_HUMAN;OSBP1_HUMAN;ABCG8_HUMAN"
"Cluster_1"	"GO"	"0033344"	"cholesterol efflux "	"10/2691"	"22/17829"	0.371609067261241	0.123394469684222	0.00525160893063943	1	3.01155366372758	"SCRB1_HUMAN;NPC1_HUMAN;APOA2_HUMAN;NPC2_HUMAN;TSK_HUMAN;ABCA5_HUMAN;ABCA7_HUMAN;ABCG5_HUMAN;ABCG8_HUMAN;APOC1_HUMAN"
"Cluster_1"	"GO"	"0015671"	"oxygen transport "	"6/2691"	"8/17829"	0.222965440356745	0.0448707162488081	0.00530461045995552	1	4.9690635451505	"HBA_HUMAN;CYGB_HUMAN;HBAT_HUMAN;HBB_HUMAN;ICEF1_HUMAN;MYG_HUMAN"
"Cluster_1"	"GO"	"0016021"	"integral component of membrane "	"541/2691"	"3275/17829"	20.1040505388331	18.3689494643558	0.00633687967881417	1	1.09445837269269	"LRC4C_HUMAN;PHAG1_HUMAN;PGAP1_HUMAN;PCX3_HUMAN;PDES1_HUMAN;PLVAP_HUMAN;SSRB_HUMAN;STIMA_HUMAN;VAPA_HUMAN;NRX3B_HUMAN;OR6B1_HUMAN;P3_HUMAN;SYNE3_HUMAN;TA2R4_HUMAN;TAAR2_HUMAN;SYPL2_HUMAN;T255B_HUMAN;PIGM_HUMAN;TM253_HUMAN;TMED6_HUMAN;TMPS3_HUMAN;TMG3_HUMAN;TMIE_HUMAN;TMUB2_HUMAN;R144A_HUMAN;SIA4C_HUMAN;SM34A_HUMAN;STR3N_HUMAN;ROBO3_HUMAN;S17A5_HUMAN;S22AV_HUMAN;SEZ6_HUMAN;TM240_HUMAN;SERP1_HUMAN;TM245_HUMAN;TM158_HUMAN;TM38A_HUMAN;TM6S2_HUMAN;S49A3_HUMAN;S5A2_HUMAN;S35B2_HUMAN;S66AL_HUMAN;TM160_HUMAN;SIGL1_HUMAN;TMM25_HUMAN;TIDC1_HUMAN;S35G6_HUMAN;S13A1_HUMAN;RMD3_HUMAN;T106B_HUMAN;S35F5_HUMAN;S6A14_HUMAN;SRAC1_HUMAN;T229B_HUMAN;C56D2_HUMAN;CP3A4_HUMAN;HMDH_HUMAN;LRP5_HUMAN;MARH9_HUMAN;LMTK1_HUMAN;LMTK3_HUMAN;GNPTA_HUMAN;MOT3_HUMAN;ADCK5_HUMAN;MOT2_HUMAN;KIRR3_HUMAN;LRBA_HUMAN;KHDC1_HUMAN;KCNA5_HUMAN;KCNT2_HUMAN;CRUM2_HUMAN;DRAM1_HUMAN;GOT1A_HUMAN;HERP2_HUMAN;LAMP5_HUMAN;HEPS_HUMAN;CT141_HUMAN;EXTL1_HUMAN;ENTP8_HUMAN;ENTP2_HUMAN;FRS1L_HUMAN;GTR7_HUMAN;GPR78_HUMAN;GPR18_HUMAN;ANO9_HUMAN;GOLI4_HUMAN;BRS3_HUMAN;C1QR1_HUMAN;IGSF5_HUMAN;I10R2_HUMAN;HGNAT_HUMAN;MOT8_HUMAN;K0040_HUMAN;OR2G6_HUMAN;OR5BC_HUMAN;ENTP6_HUMAN;FUT10_HUMAN;GOSR1_HUMAN;HMR1_HUMAN;MFSD8_HUMAN;NPC1_HUMAN;OR7AA_HUMAN;OR4N2_HUMAN;ELAP2_HUMAN;FR1L6_HUMAN;MSRE_HUMAN;B3GN7_HUMAN;CXB3_HUMAN;DCA17_HUMAN;CP4FC_HUMAN;C1C1L_HUMAN;CD38_HUMAN;CLMP_HUMAN;CLN8_HUMAN;EXT2_HUMAN;CTXD2_HUMAN;CD22_HUMAN;CNIH1_HUMAN;CLD16_HUMAN;NKPD1_HUMAN;CC136_HUMAN;CSCL2_HUMAN;F163B_HUMAN;IMPA3_HUMAN;MADD_HUMAN;MET_HUMAN;CR3L3_HUMAN;GTR11_HUMAN;F234A_HUMAN;INT2_HUMAN;AGRG4_HUMAN;ADCY7_HUMAN;CLM9_HUMAN;CC50A_HUMAN;CAD11_HUMAN;FLOWR_HUMAN;CX6A2_HUMAN;CXD4_HUMAN;ERD23_HUMAN;GP139_HUMAN;GP157_HUMAN;GPHRA_HUMAN;DNJC1_HUMAN;CP2U1_HUMAN;COX6C_HUMAN;F187B_HUMAN;EXTL2_HUMAN;AQP3_HUMAN;AQP4_HUMAN;ANKMT_HUMAN;AOFB_HUMAN;CKLF4_HUMAN;F1712_HUMAN;CP4F3_HUMAN;KLOTB_HUMAN;KLOT_HUMAN;KCNE3_HUMAN;KCNG1_HUMAN;KCNG3_HUMAN;KISSR_HUMAN;CR3L4_HUMAN;DNER_HUMAN;FUT9_HUMAN;FZD3_HUMAN;FREM1_HUMAN;FZD8_HUMAN;G3ST3_HUMAN;G6PC2_HUMAN;DPP4_HUMAN;FMR1N_HUMAN;F151A_HUMAN;ERLN1_HUMAN;IPIL2_HUMAN;CR3L1_HUMAN;EMC1_HUMAN;F205C_HUMAN;HACL2_HUMAN;LRC8A_HUMAN;OR5K2_HUMAN;OR4B1_HUMAN;OR4K3_HUMAN;OR4E1_HUMAN;O2AT4_HUMAN;OR5B3_HUMAN;O12D2_HUMAN;PPR29_HUMAN;CP8B1_HUMAN;MFTC_HUMAN;OR6C3_HUMAN;OR5M9_HUMAN;OR6B3_HUMAN;OR6V1_HUMAN;OR4P4_HUMAN;PIGA_HUMAN;CP7A1_HUMAN;O52B2_HUMAN;FND3B_HUMAN;HHLA2_HUMAN;O52L1_HUMAN;MOT11_HUMAN;KISHA_HUMAN;KCNQ2_HUMAN;P2Y12_HUMAN;OR5MA_HUMAN;OR6J1_HUMAN;O5AL1_HUMAN;OR2B3_HUMAN;OR4D9_HUMAN;OR5F1_HUMAN;PAQR8_HUMAN;PAR16_HUMAN;IGS23_HUMAN;MID49_HUMAN;EMC10_HUMAN;F237A_HUMAN;GPR61_HUMAN;FKRP_HUMAN;GLT12_HUMAN;LEPR_HUMAN;LY9_HUMAN;MADL2_HUMAN;B3GT1_HUMAN;B3GT2_HUMAN;NCHL1_HUMAN;NIPA2_HUMAN;NIPA4_HUMAN;PANX1_HUMAN;PCFT_HUMAN;NALCN_HUMAN;LRC3B_HUMAN;MANS1_HUMAN;OR6C2_HUMAN;OR2J2_HUMAN;ODFP4_HUMAN;O11L1_HUMAN;P5I13_HUMAN;PKD1_HUMAN;PTC2_HUMAN;KREM1_HUMAN;PLS4_HUMAN;PSD2_HUMAN;RN121_HUMAN;RN128_HUMAN;C1GLC_HUMAN;PTN5_HUMAN;CNTP2_HUMAN;POPD2_HUMAN;OR8J3_HUMAN;OR2T1_HUMAN;LAYN_HUMAN;OR6C6_HUMAN;OR8D4_HUMAN;OR9I1_HUMAN;O51T1_HUMAN;PKHB2_HUMAN;O52B6_HUMAN;O52E8_HUMAN;MOGS_HUMAN;T176A_HUMAN;OR5J2_HUMAN;OR6K2_HUMAN;OR7C2_HUMAN;OR4N4_HUMAN;O10J1_HUMAN;PIGC_HUMAN;SMIM9_HUMAN;SL9A6_HUMAN;SL9B2_HUMAN;SIM27_HUMAN;SIRB2_HUMAN;SGMR2_HUMAN;SIM43_HUMAN;RTP1_HUMAN;RTP2_HUMAN;ROBO4_HUMAN;SAMD8_HUMAN;TM131_HUMAN;NIPA1_HUMAN;PANX2_HUMAN;S45A2_HUMAN;S45A3_HUMAN;SYCY2_HUMAN;MGT4A_HUMAN;MGST1_HUMAN;ORML1_HUMAN;PLP2_HUMAN;PPA5_HUMAN;SNORC_HUMAN;O10C1_HUMAN;PRIMA_HUMAN;OR8B8_HUMAN;O2T10_HUMAN;O10V1_HUMAN;PTPRT_HUMAN;RN19A_HUMAN;TIM22_HUMAN;TM237_HUMAN;TM239_HUMAN;S39A3_HUMAN;SCTR_HUMAN;OR5C1_HUMAN;PIGW_HUMAN;RN139_HUMAN;S2548_HUMAN;T131L_HUMAN;STX3_HUMAN;S29A3_HUMAN;S22A8_HUMAN;SPTC1_HUMAN;RNF26_HUMAN;RN225_HUMAN;UDB10_HUMAN;T2R43_HUMAN;T200B_HUMAN;TPSNR_HUMAN;MUC22_HUMAN;S26A4_HUMAN;S27A4_HUMAN;SCAM1_HUMAN;SCAM3_HUMAN;STX16_HUMAN;STYK1_HUMAN;TRPV1_HUMAN;MC4R_HUMAN;TIM14_HUMAN;XYLK_HUMAN;TM86B_HUMAN;TPSN_HUMAN;VACHT_HUMAN;S47A2_HUMAN;SDC2_HUMAN;S29A4_HUMAN;S2538_HUMAN;SIA10_HUMAN;T2R41_HUMAN;UT2_HUMAN;VATO_HUMAN;T185A_HUMAN;TGFA_HUMAN;S4A8_HUMAN;STIM2_HUMAN;UPK3B_HUMAN;MGAT1_HUMAN;O10J4_HUMAN;S36A1_HUMAN;SOGA3_HUMAN;TM177_HUMAN;TM87B_HUMAN;ODR4_HUMAN;OR2A4_HUMAN;OR2F2_HUMAN;O2AP1_HUMAN;O51L1_HUMAN;O51M1_HUMAN;O51B6_HUMAN;EMARD_HUMAN;FUT2_HUMAN;TM14A_HUMAN;IRAG2_HUMAN;O13A1_HUMAN;VGLU2_HUMAN;PGES2_HUMAN;TEX28_HUMAN;TECT3_HUMAN;T106A_HUMAN;PLAT3_HUMAN;T2R45_HUMAN;TMPS6_HUMAN;TYRP1_HUMAN;TSPO2_HUMAN;VGLU3_HUMAN;VN1R2_HUMAN;SUSD6_HUMAN;UBP19_HUMAN;XPR1_HUMAN;PPR3F_HUMAN;MFN1_HUMAN;MRGRD_HUMAN;ZFPL1_HUMAN;TM258_HUMAN;UD2B7_HUMAN;ZP4_HUMAN;VKOR1_HUMAN;TM235_HUMAN;TM14B_HUMAN;TNFL9_HUMAN;TM187_HUMAN;TRPV4_HUMAN;TMM81_HUMAN;VN1R1_HUMAN;WSCD1_HUMAN;NCKP1_HUMAN;OR9Q1_HUMAN;OR4CG_HUMAN;O51B5_HUMAN;O52R1_HUMAN;TM121_HUMAN;TNR6_HUMAN;TMM74_HUMAN;TM212_HUMAN;THSD1_HUMAN;UPAR_HUMAN;ZNT6_HUMAN;SWET1_HUMAN;TRPM5_HUMAN;WSCD2_HUMAN;TM250_HUMAN;TIM50_HUMAN;TM251_HUMAN;TOMT_HUMAN;TMM64_HUMAN;TSN2_HUMAN;UCP1_HUMAN;ZDH13_HUMAN;UNC5C_HUMAN;UNC5B_HUMAN;YIPF6_HUMAN;VANG2_HUMAN;UBR3_HUMAN;VTM2B_HUMAN;TM209_HUMAN;LHPL1_HUMAN;THS7A_HUMAN;MSMO1_HUMAN;NKAI4_HUMAN;OR7G3_HUMAN;OR2G3_HUMAN;OR4C5_HUMAN;RAE1E_HUMAN;RHBD3_HUMAN;ABCA5_HUMAN;ABCA7_HUMAN;ACER1_HUMAN;3BHS1_HUMAN;AGRF2_HUMAN;AGRA3_HUMAN;CDS1_HUMAN;CERS5_HUMAN;ARSH_HUMAN;CE060_HUMAN;CEBOS_HUMAN;CD3D_HUMAN;DIK1C_HUMAN;CNGA4_HUMAN;ASPH_HUMAN;ASTN1_HUMAN;ASTRB_HUMAN;ABHGA_HUMAN;ABCAA_HUMAN;ACKMT_HUMAN;ACKR1_HUMAN;ARI2O_HUMAN;ARMX6_HUMAN;IL5RA_HUMAN;ICOS_HUMAN;IL7RA_HUMAN;GLP2R_HUMAN;MYADM_HUMAN;GP153_HUMAN;NPT2C_HUMAN;LDAF1_HUMAN;NNTM_HUMAN;M4A10_HUMAN;MANS4_HUMAN;KCMA1_HUMAN;LMLN2_HUMAN;MPU1_HUMAN;MRP4_HUMAN;HS3S5_HUMAN;FOCAD_HUMAN;GDE1_HUMAN;OR4X1_HUMAN;MPZL2_HUMAN;L1CAM_HUMAN;HS3SA_HUMAN;M4A15_HUMAN;MEGF9_HUMAN;O51A2_HUMAN;O10G2_HUMAN;GOT1B_HUMAN;IOD1_HUMAN;B3A4_HUMAN;AREG_HUMAN;C16L2_HUMAN;EAA3_HUMAN;DYST_HUMAN;DRS7B_HUMAN;ABCB5_HUMAN;AMPN_HUMAN;ARMD3_HUMAN;EMC4_HUMAN;APMAP_HUMAN;CLTRN_HUMAN;CNPD1_HUMAN;CLD19_HUMAN;CLD24_HUMAN;CLD7_HUMAN;CHSTA_HUMAN;CLDN1_HUMAN;CLC4C_HUMAN;CLC4K_HUMAN;CLC9A_HUMAN;CLC2A_HUMAN;CABP8_HUMAN;DSG3_HUMAN;GLDN_HUMAN;GL6D1_HUMAN;GL8D2_HUMAN;A3LT2_HUMAN;ABCD3_HUMAN;AMGO3_HUMAN;AKAP1_HUMAN;CSCL1_HUMAN;AGRF1_HUMAN;AGRG5_HUMAN;AEGP_HUMAN;ACSL6_HUMAN;BOK_HUMAN;AWAT1_HUMAN;CXB5_HUMAN;FLVC1_HUMAN;D42E1_HUMAN;DJC16_HUMAN;DPP6_HUMAN;GP141_HUMAN;GP142_HUMAN;GP143_HUMAN;GP173_HUMAN;ERVV2_HUMAN;B4GN3_HUMAN;AGRG7_HUMAN;ADIG_HUMAN;AQP11_HUMAN;CLM5_HUMAN;CKLF6_HUMAN;EMC7_HUMAN;EDAR_HUMAN;EMP1_HUMAN;DMAC1_HUMAN;CNIH4_HUMAN;ERMAP_HUMAN"
"Cluster_1"	"GO"	"0002024"	"diet induced thermogenesis "	"7/2691"	"12/17829"	0.260126347082869	0.0673060743732122	0.00700309708794674	1	3.86482720178372	"SCTR_HUMAN;TRPV1_HUMAN;MC4R_HUMAN;SECR_HUMAN;TRPV4_HUMAN;UCP1_HUMAN;BMP8A_HUMAN"
"Cluster_1"	"GO"	"0032367"	"intracellular cholesterol transport "	"7/2691"	"13/17829"	0.260126347082869	0.0729149139043132	0.00959936129308529	1	3.56753280164651	"OSBL2_HUMAN;SRAC1_HUMAN;NPC1_HUMAN;NPC2_HUMAN;SCP2_HUMAN;TSPO2_HUMAN;OSBP1_HUMAN"
"Cluster_1"	"GO"	"0000038"	"very long-chain fatty acid metabolic process "	"8/2691"	"17/17829"	0.297287253808993	0.0953502720287173	0.010407278645594	1	3.11784379303561	"S27A5_HUMAN;CP4FC_HUMAN;CP4F2_HUMAN;ACOX2_HUMAN;ABCD1_HUMAN;ACOX1_HUMAN;ABCD3_HUMAN;ACSL6_HUMAN"
"Cluster_1"	"GO"	"0006241"	"CTP biosynthetic process "	"6/2691"	"10/17829"	0.222965440356745	0.0560883953110102	0.011275879155816	1	3.9752508361204	"NDKA_HUMAN;TXND6_HUMAN;NDK5_HUMAN;NDKM_HUMAN;PYRG1_HUMAN;NDK3_HUMAN"
