"","IDs","Slide_18.B.02912_Glo_ROI_1","Slide_18.B.02912_Glo_ROI_2","Slide_18.B.02912_Glo_ROI_3","Slide_18.B.02912_Glo_ROI_4","Slide_18.B.02912_Glo_ROI_5","Z_scores_Slide_18.B.02912_Glo_ROI_1","Z_scores_Slide_18.B.02912_Glo_ROI_2","Z_scores_Slide_18.B.02912_Glo_ROI_3","Z_scores_Slide_18.B.02912_Glo_ROI_4","Z_scores_Slide_18.B.02912_Glo_ROI_5","hclust_clusters"
"A1BG_HUMAN","A1BG@A1BG_HUMAN",3.78659636189081,3.52356195605701,3.78659636189081,2.56071495447448,2.94485844580754,0.853132257203518,0.371715533760533,0.853132257203518,-1.39052787774078,-0.687452170426789,1
"A1CF_HUMAN","A1CF@A1CF_HUMAN",3.78659636189081,3.20163386116965,4.10433665981474,3.88752527074159,4.37155886261196,-0.192041632408987,-1.53363962575012,0.536688406820581,0.0394364904063811,1.14955636093214,2
"A2MG_HUMAN","A2M@A2MG_HUMAN",7.41278152533848,7.24317398347295,5.7839804136838,6.77082904603249,7.59768014371589,0.620997359868328,0.387506811837675,-1.62129481658878,-0.262747752843894,0.875538397726673,3
"A2ML1_HUMAN","A2ML1@A2ML1_HUMAN",3.59693514238723,3.20163386116965,1.76553474636298,1.58496250072116,4.37155886261196,0.577420113327011,0.24795767607835,-0.948953988456389,-1.09945127995359,1.22302747900461,4
"A3LT2_HUMAN","A3GALT2@A3LT2_HUMAN",2.78659636189081,2.20163386116965,3.36457243229586,2.56071495447448,3.95419631038688,-0.270129203072295,-1.11537380485393,0.565020319959618,-0.596517715201041,1.41700040316764,2
"A4GAT_HUMAN","A4GALT@A4GAT_HUMAN",2.37851162325373,3.20163386116965,3.36457243229586,4.56071495447448,4.37155886261196,-1.33370670909312,-0.416490710660824,-0.234926105412094,1.09795133029565,0.887172194870386,5
"A4GCT_HUMAN","A4GNT@A4GCT_HUMAN",2.78659636189081,2.78659636189081,1.76553474636298,3.15380533607904,1.37851162325373,0.54268618977356,0.54268618977356,-0.800991952530405,1.02591919429652,-1.31029962131324,1
"AAAS_HUMAN","AAAS@AAAS_HUMAN",4.10433665981474,4.20163386116965,3.36457243229586,4.37155886261196,2.94485844580754,0.500997968346072,0.659807405024562,-0.706452385941399,0.937160642125477,-1.39151362955471,1
"AACS_HUMAN","AACS@AACS_HUMAN",2.37851162325373,3.78659636189081,3.36457243229586,3.88752527074159,3.36457243229586,-1.6391222527927,0.721195985014987,0.0137735192489068,0.890379229279895,0.0137735192489068,5
"AAAD_HUMAN","AADAC@AAAD_HUMAN",2.78659636189081,2.20163386116965,1.76553474636298,2.56071495447448,2.94485844580754,0.705434625542313,-0.527363211954405,-1.44643416950315,0.229393665223892,1.03896909069135,3
"ADCL2_HUMAN","AADACL2@ADCL2_HUMAN",2.37851162325373,3.52356195605701,3.36457243229586,1.58496250072116,3.68929916053589,-0.589561205077356,0.68496324808751,0.507996323555431,-1.47283919948587,0.869440832920287,4
"ADCL3_HUMAN","AADACL3@ADCL3_HUMAN",3.59693514238723,2.20163386116965,1.76553474636298,3.15380533607904,3.68929916053589,0.833699366522318,-0.792118066492917,-1.30026462445816,0.317360584438032,0.941322739990725,3
"ADCL4_HUMAN","AADACL4@ADCL4_HUMAN",2.78659636189081,3.52356195605701,4.10433665981474,3.15380533607904,4.53605290024021,-1.18134015051044,-0.137790006584799,0.684592382080769,-0.661368823628538,1.29590659864301,4
"AADAT_HUMAN","AADAT@AADAT_HUMAN",2.78659636189081,1.20163386116965,2.78659636189081,3.15380533607904,2.94485844580754,0.270892443635695,-1.75533612047188,0.270892443635695,0.740335293014332,0.473215940186159,2
"AAGAB_HUMAN","AAGAB@AAGAB_HUMAN",2.37851162325373,3.20163386116965,4.37155886261196,3.56071495447448,4.17791779219584,-1.44876958835058,-0.420346057177248,1.04137900110524,0.0282962330482447,0.799440411374334,5
"AAK1_HUMAN","AAK1@AAK1_HUMAN",4.48542682717024,4.66106547980695,2.78659636189081,2.56071495447448,2.37851162325373,1.00486447922216,1.16372928357651,-0.531724224040415,-0.736033497983115,-0.900836040775142,1
"AAMDC_HUMAN","AAMDC@AAMDC_HUMAN",3.78659636189081,3.52356195605701,2.78659636189081,3.15380533607904,2.94485844580754,1.32861324431466,0.690324827005252,-1.09802145879991,-0.206939418739655,-0.713977193780342,3
"AAMP_HUMAN","AAMP@AAMP_HUMAN",5.10433665981474,4.37155886261196,4.95419631038687,5.02236781302845,5.456149034648,0.312750392422112,-1.55632505685051,-0.0702083191164332,0.103674790352482,1.21010819319236,2
"SNAT_HUMAN","AANAT@SNAT_HUMAN",3.36457243229586,1.20163386116965,1.76553474636298,4.37155886261196,2.94485844580754,0.501586449870915,-1.20707795318063,-0.761611132143079,1.2970791609474,0.170023474505398,2
"AAR2_HUMAN","AAR2@AAR2_HUMAN",4.37155886261196,3.20163386116965,2.78659636189081,4.37155886261196,4.17791779219584,0.798878224330136,-0.786026898251033,-1.34828093834708,0.798878224330136,0.536551387937844,3
"AARD_HUMAN","AARD@AARD_HUMAN",2.78659636189081,4.20163386116965,1.76553474636298,3.15380533607904,2.94485844580754,-0.211084561768765,1.41322107689436,-1.38314971224681,0.210430491822124,-0.0294172947009074,3
"SYAC_HUMAN","AARS1@SYAC_HUMAN",3.95419631038688,3.78659636189081,4.78135971352466,3.15380533607904,4.37155886261196,-0.0899624481204784,-0.362580740494656,1.25550261020039,-1.39187943917866,0.588920017593412,2
"SYAM_HUMAN","AARS2@SYAM_HUMAN",3.36457243229586,3.78659636189081,1.76553474636298,3.56071495447448,2.37851162325373,0.456374478784522,0.94597184837643,-1.3986972126773,0.683922862156869,-0.687571976640524,3
"AASD1_HUMAN","AARSD1@AASD1_HUMAN",3.95419631038688,4.00898878322726,3.36457243229586,2.56071495447448,4.17791779219584,0.513753132566149,0.596323672799869,-0.374791582152355,-1.58617962094354,0.850894397729877,4
"ACSF4_HUMAN","AASDH@ACSF4_HUMAN",2.37851162325373,1.20163386116965,1.76553474636298,1.58496250072116,2.37851162325373,1.00572802411969,-1.28508490246788,-0.187442072657356,-0.538929073114141,1.00572802411969,2
