"trend"	"Ontology_type"	"Ontology_accession"	"Ongology_description"	"Count_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"	"Count_query"
"31"	"linear_increasing"	"GO"	"0005634"	"nucleus "	"5058/17829"	37.4083129584352	28.3695103483089	2.68705998545135e-05	0.0881355675228042	1.31860975036762	"KPYM_HUMAN;PFKAP_HUMAN;PLK1_HUMAN;VDAC1_HUMAN;TRIB1_HUMAN;NF2L2_HUMAN;PADI2_HUMAN;PATL2_HUMAN;SRSF7_HUMAN;S10AC_HUMAN;TIGD4_HUMAN;PSB6_HUMAN;PURB_HUMAN;ILF2_HUMAN;KI18B_HUMAN;ADT3_HUMAN;LMO7_HUMAN;DUS3_HUMAN;GABP2_HUMAN;FOS_HUMAN;FOXC1_HUMAN;HINT1_HUMAN;FOSB_HUMAN;LDOC1_HUMAN;API5_HUMAN;DCTP1_HUMAN;DBR1_HUMAN;FAT1_HUMAN;ENPL_HUMAN;IQCN_HUMAN;NCOR2_HUMAN;ING5_HUMAN;KC1A_HUMAN;KLF10_HUMAN;CALB1_HUMAN;DOT1L_HUMAN;FOXR2_HUMAN;CTNA2_HUMAN;DUS16_HUMAN;FBX43_HUMAN;JUN_HUMAN;ELF1_HUMAN;GA45B_HUMAN;CACO1_HUMAN;MCL1_HUMAN;MSL1_HUMAN;PAX8_HUMAN;OAZ1_HUMAN;PFD4_HUMAN;HNRH3_HUMAN;PALLD_HUMAN;ITB3_HUMAN;LACC1_HUMAN;FA50A_HUMAN;FHL2_HUMAN;LSM7_HUMAN;NKX61_HUMAN;DDX46_HUMAN;PSB1_HUMAN;C2CD2_HUMAN;NR4A2_HUMAN;PAN2_HUMAN;PP6R3_HUMAN;BRD9_HUMAN;SMCA1_HUMAN;NEPRO_HUMAN;PRDX6_HUMAN;RRAGA_HUMAN;RNF10_HUMAN;SUPT3_HUMAN;PRDM8_HUMAN;STAT1_HUMAN;RYBP_HUMAN;SEBOX_HUMAN;SPOP_HUMAN;S10A9_HUMAN;ROA2_HUMAN;NSD2_HUMAN;SRBP2_HUMAN;STN1_HUMAN;NMI_HUMAN;STAG2_HUMAN;SRF_HUMAN;PTBP3_HUMAN;UBA6_HUMAN;TEN4_HUMAN;XPO1_HUMAN;WT1_HUMAN;PWP3A_HUMAN;Z780A_HUMAN;UBF1_HUMAN;TEX35_HUMAN;ZEP1_HUMAN;WRIP1_HUMAN;ZFHX2_HUMAN;ZBT24_HUMAN;RGS12_HUMAN;UBE2O_HUMAN;WBP11_HUMAN;TBL1R_HUMAN;ZCH12_HUMAN;TBB5_HUMAN;ZN771_HUMAN;ZN777_HUMAN;ZN207_HUMAN;ZSC25_HUMAN;ZN460_HUMAN;TBB2A_HUMAN;Z518A_HUMAN;SYUA_HUMAN;RETN_HUMAN;ZN697_HUMAN;VRK3_HUMAN;ZN236_HUMAN;ZBT20_HUMAN;TYRO_HUMAN;ZC4H2_HUMAN;TBX5_HUMAN;KDM6A_HUMAN;REL_HUMAN;CDKL3_HUMAN;CCNB3_HUMAN;CCNI_HUMAN;DEND_HUMAN;ABHEB_HUMAN;ABI2_HUMAN;HSP7C_HUMAN;IER2_HUMAN;IEX1_HUMAN;MYSM1_HUMAN;DDX5_HUMAN;NEP1_HUMAN;MAGBG_HUMAN;DDX3X_HUMAN;HSPB2_HUMAN;HSPB1_HUMAN;LATS1_HUMAN;AREG_HUMAN;DYST_HUMAN;BHE41_HUMAN;CNOT2_HUMAN;CI129_HUMAN;GCM1_HUMAN;GASP2_HUMAN;ASF1A_HUMAN;CB016_HUMAN;CALM2_HUMAN;2A5G_HUMAN;CDK2_HUMAN;EHMT1_HUMAN;EDF1_HUMAN;CSN6_HUMAN;DAPK2_HUMAN;DMWD_HUMAN"	"154/409"
"26"	"linear_increasing"	"GO"	"0070062"	"extracellular exosome "	"1936/17829"	17.1149144254279	10.8587133322116	9.33924453966095e-05	0.306327220900879	1.57614570914749	"KPYM_HUMAN;PFKAP_HUMAN;VDAC1_HUMAN;PCKGC_HUMAN;RAB3B_HUMAN;RAB8B_HUMAN;TMED9_HUMAN;PADI2_HUMAN;SRSF7_HUMAN;S27A2_HUMAN;TM52B_HUMAN;PSB6_HUMAN;SSRD_HUMAN;LRP2_HUMAN;LRRK2_HUMAN;1433G_HUMAN;KNG1_HUMAN;DSG2_HUMAN;HINT1_HUMAN;FAT1_HUMAN;EHD1_HUMAN;IGJ_HUMAN;BASI_HUMAN;CD37_HUMAN;ENPL_HUMAN;ANXA5_HUMAN;COBL1_HUMAN;CALB1_HUMAN;AMPB_HUMAN;GBG4_HUMAN;DAG1_HUMAN;INADL_HUMAN;ITB3_HUMAN;K1C19_HUMAN;LYPA1_HUMAN;NKX61_HUMAN;PSB1_HUMAN;RENR_HUMAN;RIPR1_HUMAN;PRDX6_HUMAN;SNX3_HUMAN;PODXL_HUMAN;S10A9_HUMAN;ROA2_HUMAN;PLCG2_HUMAN;SCRB2_HUMAN;SEM5A_HUMAN;RS5_HUMAN;YES_HUMAN;PROF2_HUMAN;TBB5_HUMAN;TSP1_HUMAN;TBB2A_HUMAN;RETN_HUMAN;TCPD_HUMAN;WDR1_HUMAN;DEST_HUMAN;A1BG_HUMAN;ABHEB_HUMAN;HSP7C_HUMAN;MYO1C_HUMAN;DDX5_HUMAN;NGAL_HUMAN;DDX3X_HUMAN;HSPB1_HUMAN;ITAV_HUMAN;CKAP4_HUMAN;ANPRC_HUMAN;GFPT1_HUMAN;CB016_HUMAN;ANXA6_HUMAN"	"71/409"
"144"	"linear_increasing"	"GO"	"0043066"	"negative regulation of apoptotic process "	"453/17829"	5.8679706601467	2.54080430758876	0.000168193873788791	0.551675906027235	2.30949335319549	"PLK1_HUMAN;VDAC1_HUMAN;RASA1_HUMAN;LRP2_HUMAN;5HT2B_HUMAN;HIP1R_HUMAN;API5_HUMAN;GOLP3_HUMAN;ENPL_HUMAN;ANXA5_HUMAN;MCL1_HUMAN;FHL2_HUMAN;PIM3_HUMAN;SOCS3_HUMAN;TM14A_HUMAN;WT1_HUMAN;VEGFA_HUMAN;UBE2O_HUMAN;ZO1_HUMAN;TSP1_HUMAN;WFS1_HUMAN;SYUA_HUMAN;IEX1_HUMAN;DDX3X_HUMAN;HSPB1_HUMAN"	"25/409"
"104"	"linear_increasing"	"GO"	"0031954"	"positive regulation of protein autophosphorylation "	"23/17829"	1.22249388753056	0.129003309215323	0.000317364892397902	1	9.476453704688	"PDGFD_HUMAN;RAP2A_HUMAN;VEGFA_HUMAN;VEGFC_HUMAN;DDX3X_HUMAN;CALM2_HUMAN"	"6/409"
"171"	"linear_increasing"	"GO"	"0005925"	"focal adhesion "	"392/17829"	4.88997555012225	2.1986650961916	0.000899409554178937	1	2.22406566538596	"PTK7_HUMAN;1433G_HUMAN;LMO7_HUMAN;FAT1_HUMAN;BASI_HUMAN;ENPL_HUMAN;ANXA5_HUMAN;DAG1_HUMAN;EFNB2_HUMAN;PALLD_HUMAN;ITB3_HUMAN;FHL2_HUMAN;SCRB2_HUMAN;WASF1_HUMAN;RS5_HUMAN;YES_HUMAN;HSP7C_HUMAN;HSPB1_HUMAN;ITAV_HUMAN;DYST_HUMAN;ANXA6_HUMAN"	"21/409"
"116"	"linear_increasing"	"GO"	"0005654"	"nucleoplasm "	"3579/17829"	26.161369193154	20.0740366818105	0.00132150423087654	1	1.30324406634463	"PLK1_HUMAN;RAB8B_HUMAN;TRI66_HUMAN;NF2L2_HUMAN;SRSF7_HUMAN;PSB6_HUMAN;PURB_HUMAN;RS21_HUMAN;ILF2_HUMAN;KI18B_HUMAN;5HT2B_HUMAN;DPF3_HUMAN;DUS3_HUMAN;FOS_HUMAN;FOXC1_HUMAN;HINT1_HUMAN;FOSB_HUMAN;LDOC1_HUMAN;DBR1_HUMAN;ARI1B_HUMAN;MOFA1_HUMAN;CC14A_HUMAN;KS6A6_HUMAN;NCOR2_HUMAN;ING5_HUMAN;DOT1L_HUMAN;FOXR2_HUMAN;DUS16_HUMAN;AQP3_HUMAN;JUND_HUMAN;JUN_HUMAN;ELF1_HUMAN;DAG1_HUMAN;MCL1_HUMAN;MSL1_HUMAN;PAX8_HUMAN;HNRH3_HUMAN;ITB3_HUMAN;FA50A_HUMAN;FHL2_HUMAN;LITAF_HUMAN;LSM7_HUMAN;DDX46_HUMAN;PSB1_HUMAN;NR4A2_HUMAN;PKHG1_HUMAN;PP6R3_HUMAN;BRD9_HUMAN;SMCA1_HUMAN;RRAGA_HUMAN;SCOC_HUMAN;SUPT3_HUMAN;STAT1_HUMAN;RYBP_HUMAN;SPOP_HUMAN;S10A9_HUMAN;ROA2_HUMAN;NSD2_HUMAN;SRBP2_HUMAN;STN1_HUMAN;NMI_HUMAN;TGON2_HUMAN;STAG2_HUMAN;SRF_HUMAN;XPO1_HUMAN;WT1_HUMAN;PWP3A_HUMAN;RS5_HUMAN;UBF1_HUMAN;ZEP1_HUMAN;RGS12_HUMAN;UBE2O_HUMAN;WBP11_HUMAN;TBL1R_HUMAN;ZN771_HUMAN;ZN207_HUMAN;TCPD_HUMAN;TSN2_HUMAN;VRK3_HUMAN;ZN622_HUMAN;ZBT20_HUMAN;THUM1_HUMAN;TBX5_HUMAN;KDM6A_HUMAN;RBM48_HUMAN;RBM19_HUMAN;REL_HUMAN;ABHEB_HUMAN;HSP7C_HUMAN;IER2_HUMAN;MYO1C_HUMAN;MYSM1_HUMAN;GRSF1_HUMAN;DDX5_HUMAN;NEP1_HUMAN;KANL3_HUMAN;DDX3X_HUMAN;DYST_HUMAN;ANR61_HUMAN;CNOT2_HUMAN;ASF1A_HUMAN;BCORL_HUMAN;CTR9_HUMAN;2A5G_HUMAN;CDK2_HUMAN;EHMT1_HUMAN;EDF1_HUMAN;CSN6_HUMAN"	"108/409"
"903"	"linear_increasing"	"GO"	"0051591"	"response to cAMP "	"35/17829"	1.22249388753056	0.196309383588536	0.00171384189507907	1	6.22738386308068	"FOS_HUMAN;FOSB_HUMAN;BASI_HUMAN;STAT1_HUMAN;TYRO_HUMAN;AREG_HUMAN"	"6/409"
"1"	"linear_increasing"	"GO"	"0005737"	"cytoplasm "	"4424/17829"	31.0513447432763	24.8135060855909	0.00197119400724676	1	1.25138884590387	"IMPCT_HUMAN;KPYM_HUMAN;MPDZ_HUMAN;PFKAP_HUMAN;PLK1_HUMAN;PCKGC_HUMAN;RAB3B_HUMAN;RASA1_HUMAN;TRIB1_HUMAN;NF2L2_HUMAN;PADI2_HUMAN;PATL2_HUMAN;SRSF7_HUMAN;S10AC_HUMAN;LRRK2_HUMAN;M2GD_HUMAN;HPCA_HUMAN;KI18B_HUMAN;5HT2B_HUMAN;1433G_HUMAN;HMN6_HUMAN;LMO7_HUMAN;DUS3_HUMAN;GLO2_HUMAN;GRK4_HUMAN;HINT1_HUMAN;API5_HUMAN;IFIT2_HUMAN;GMPPB_HUMAN;CC14A_HUMAN;KS6A6_HUMAN;AZI2_HUMAN;ANXA5_HUMAN;KC1A_HUMAN;APBA2_HUMAN;DOT1L_HUMAN;CTNA2_HUMAN;DUS16_HUMAN;AQP3_HUMAN;ARL4D_HUMAN;KCNE3_HUMAN;GA45B_HUMAN;DLRB1_HUMAN;DAG1_HUMAN;GTR2_HUMAN;INADL_HUMAN;MCL1_HUMAN;OAZ1_HUMAN;PFD4_HUMAN;IFIT1_HUMAN;PAK3_HUMAN;PIM3_HUMAN;LYPA1_HUMAN;RIPR1_HUMAN;NR4A2_HUMAN;ODB2_HUMAN;CSAD_HUMAN;PALM3_HUMAN;SIMC1_HUMAN;PRDX6_HUMAN;RRAGA_HUMAN;RNF10_HUMAN;SNX3_HUMAN;RN19A_HUMAN;PODXL_HUMAN;STAT1_HUMAN;RYBP_HUMAN;SPOP_HUMAN;S10A9_HUMAN;ROA2_HUMAN;NSD2_HUMAN;SRBP2_HUMAN;NMI_HUMAN;PLCG2_HUMAN;SCRB2_HUMAN;SRF_HUMAN;TFG_HUMAN;UBA6_HUMAN;TEN4_HUMAN;XPO1_HUMAN;WT1_HUMAN;TROAP_HUMAN;VEGFA_HUMAN;RGS12_HUMAN;PROF2_HUMAN;UBE2O_HUMAN;WDR19_HUMAN;TBB5_HUMAN;ZO1_HUMAN;ZN207_HUMAN;TBB2A_HUMAN;SYUA_HUMAN;ZCHC3_HUMAN;VRK3_HUMAN;ZBT20_HUMAN;TYRO_HUMAN;ZC4H2_HUMAN;TBX5_HUMAN;RBM19_HUMAN;CDKL3_HUMAN;CCNB3_HUMAN;CCNI_HUMAN;DEST_HUMAN;DEND_HUMAN;ABHEB_HUMAN;ABI2_HUMAN;HSP7C_HUMAN;IER2_HUMAN;MYO1C_HUMAN;MYSM1_HUMAN;GRSF1_HUMAN;NEP1_HUMAN;DDX3X_HUMAN;EMAL4_HUMAN;HSPB2_HUMAN;HSPB1_HUMAN;MOAP1_HUMAN;DOK6_HUMAN;DYST_HUMAN;CNOT2_HUMAN;CLC7A_HUMAN;GASP2_HUMAN;CALM2_HUMAN;ANXA6_HUMAN;CDK2_HUMAN;EDF1_HUMAN;CSN6_HUMAN;DAPK2_HUMAN"	"128/409"
"419"	"linear_increasing"	"GO"	"0000976"	"transcription cis-regulatory region binding "	"194/17829"	2.93398533007335	1.0881148690336	0.00200174163311446	1	2.6963930128803	"NF2L2_HUMAN;GABP2_HUMAN;FOS_HUMAN;FOXC1_HUMAN;JUND_HUMAN;JUN_HUMAN;CACO1_HUMAN;PAX8_HUMAN;RNF10_HUMAN;WT1_HUMAN;TBL1R_HUMAN;SYUA_HUMAN;ZBT20_HUMAN"	"13/409"
"1516"	"linear_increasing"	"GO"	"0045214"	"sarcomere organization "	"37/17829"	1.22249388753056	0.207527062650738	0.00213796849031612	1	5.89076851913038	"CASQ1_HUMAN;K1C19_HUMAN;SRF_HUMAN;TPM1_HUMAN;WDR1_HUMAN;MYOZ2_HUMAN"	"6/409"
