"trend"	"Ontology_type"	"Ontology_accession"	"Ongology_description"	"Count_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"	"Count_query"
"4"	"linear_increasing"	"GO"	"0070062"	"extracellular exosome "	"1936/17829"	19.4888178913738	10.8587133322116	4.79408065015598e-06	0.0105709478335939	1.79476308980012	"PGM1_HUMAN;PGM2_HUMAN;PGAM4_HUMAN;PDC6I_HUMAN;PDGFC_HUMAN;UROM_HUMAN;VATD_HUMAN;RET4_HUMAN;RHOG_HUMAN;RHOC_HUMAN;TM1L2_HUMAN;CPNE8_HUMAN;LGMN_HUMAN;JADE2_HUMAN;H2B1L_HUMAN;H2B1M_HUMAN;HINT1_HUMAN;K1C13_HUMAN;HEXA_HUMAN;H2B1H_HUMAN;GPX4_HUMAN;H2A1H_HUMAN;H2A1J_HUMAN;CD47_HUMAN;CBG_HUMAN;ENPP4_HUMAN;HSP13_HUMAN;ARC1B_HUMAN;H2A1D_HUMAN;H2B1N_HUMAN;CALX_HUMAN;MGT5A_HUMAN;NPC2_HUMAN;GDPD3_HUMAN;GRP75_HUMAN;FA20C_HUMAN;I18BP_HUMAN;MYL6_HUMAN;S22AB_HUMAN;SPTN1_HUMAN;SORCN_HUMAN;SUCR1_HUMAN;PRDX1_HUMAN;VATL_HUMAN;SCNNB_HUMAN;RL30_HUMAN;UB2D2_HUMAN;YBOX1_HUMAN;UBE2N_HUMAN;TCPE_HUMAN;VMO1_HUMAN;AK1A1_HUMAN;AOXA_HUMAN;ANXA2_HUMAN;LAMP2_HUMAN;KPCL_HUMAN;MYOF_HUMAN;PCBP2_HUMAN;DDC_HUMAN;5NTD_HUMAN;ALAT1_HUMAN;APOA4_HUMAN"	"62/313"
"549"	"linear_increasing"	"GO"	"0000786"	"nucleosome "	"79/17829"	2.55591054313099	0.44309832295698	0.000108567320133191	0.239390940893686	5.76826950297246	"H2B1L_HUMAN;H2B1M_HUMAN;H2B1H_HUMAN;H2A1H_HUMAN;H2A1J_HUMAN;H14_HUMAN;H15_HUMAN;H2A1D_HUMAN;H2B1N_HUMAN"	"9/313"
"550"	"linear_increasing"	"GO"	"0046982"	"protein heterodimerization activity "	"282/17829"	4.15335463258786	1.58169274777049	0.0015497497993324	1	2.62589218951805	"H2B1L_HUMAN;H2B1M_HUMAN;HEXA_HUMAN;H2B1H_HUMAN;H2A1H_HUMAN;H2A1J_HUMAN;H2A1D_HUMAN;H2B1N_HUMAN;MLX_HUMAN;SORCN_HUMAN;TFE2_HUMAN;UBA3_HUMAN;TEN1_HUMAN;ANM5_HUMAN"	"14/313"
"558"	"linear_increasing"	"GO"	"0006936"	"muscle contraction "	"85/17829"	1.91693290734824	0.476751360143586	0.00436202459798135	1	4.02082315354257	"LMOD3_HUMAN;MYL6_HUMAN;TNNT1_HUMAN;TRDN_HUMAN;MYOF_HUMAN;MYOM3_HUMAN;ACHB_HUMAN"	"7/313"
"551"	"linear_increasing"	"GO"	"0006334"	"nucleosome assembly "	"68/17829"	1.59744408945687	0.381401088114869	0.00772914828375706	1	4.18835745160684	"H2B1L_HUMAN;H2B1M_HUMAN;H2B1H_HUMAN;H14_HUMAN;H15_HUMAN;H2B1N_HUMAN"	"6/313"
"3"	"linear_increasing"	"GO"	"0005829"	"cytosol "	"4982/17829"	33.8658146964856	27.9432385439453	0.0104849477153787	1	1.21195024131602	"PGM1_HUMAN;PGM2_HUMAN;PDC6I_HUMAN;PCNT_HUMAN;PDGFC_HUMAN;VATD_HUMAN;MTMRA_HUMAN;RAB18_HUMAN;NEXMI_HUMAN;RHOG_HUMAN;RL18A_HUMAN;NF2L2_HUMAN;PARVA_HUMAN;RHOC_HUMAN;TNIP2_HUMAN;LSG1_HUMAN;M1IP1_HUMAN;BCL10_HUMAN;INP5E_HUMAN;KLHL3_HUMAN;H2B1L_HUMAN;KLC1_HUMAN;K1C23_HUMAN;KANL2_HUMAN;H2B1M_HUMAN;HINT1_HUMAN;FLRT3_HUMAN;CHMP7_HUMAN;GMIP_HUMAN;K1C13_HUMAN;HEXA_HUMAN;FBX17_HUMAN;H2B1H_HUMAN;HBD_HUMAN;NSL1_HUMAN;GPX4_HUMAN;DMPK_HUMAN;GNPAT_HUMAN;HMBX1_HUMAN;ARC1B_HUMAN;EI2BG_HUMAN;H2B1N_HUMAN;OR6B3_HUMAN;PUM2_HUMAN;MYL6_HUMAN;NR1H2_HUMAN;NUFP2_HUMAN;MLX_HUMAN;NPL4_HUMAN;PK3CD_HUMAN;PEX5_HUMAN;SPTN1_HUMAN;PPA5_HUMAN;SORCN_HUMAN;TNC18_HUMAN;SENP5_HUMAN;TNNT1_HUMAN;PRDX1_HUMAN;RPC9_HUMAN;SSNA1_HUMAN;WSB2_HUMAN;SH2B2_HUMAN;PPM1F_HUMAN;P55G_HUMAN;RL30_HUMAN;SIPA1_HUMAN;UB2D2_HUMAN;PLAT3_HUMAN;UBA3_HUMAN;VIP2_HUMAN;YBOX1_HUMAN;WDR26_HUMAN;NLRC3_HUMAN;ZN260_HUMAN;UBD_HUMAN;VINEX_HUMAN;WWC3_HUMAN;TBCD5_HUMAN;UBE2N_HUMAN;PLPL2_HUMAN;UBR4_HUMAN;TCPE_HUMAN;ZNRF1_HUMAN;TRDN_HUMAN;OCTC_HUMAN;AK1A1_HUMAN;AOXA_HUMAN;CENPL_HUMAN;KPCL_HUMAN;CD151_HUMAN;PCBP2_HUMAN;MILK2_HUMAN;MOAP1_HUMAN;CREB3_HUMAN;DDC_HUMAN;BIRC7_HUMAN;ACO13_HUMAN;5NTD_HUMAN;ALAT1_HUMAN;ANR28_HUMAN;GCKR_HUMAN;BIRC2_HUMAN;APOA4_HUMAN;CDKA1_HUMAN;ANM5_HUMAN;EF1D_HUMAN;BBIP1_HUMAN"	"107/313"
"47"	"linear_increasing"	"GO"	"0016020"	"membrane "	"1978/17829"	15.3354632587859	11.0942845925178	0.013450393425498	1	1.3822850072846	"PDC6I_HUMAN;PCNT_HUMAN;VATD_HUMAN;RL18A_HUMAN;TM1L2_HUMAN;PIGT_HUMAN;LSG1_HUMAN;ADT3_HUMAN;ANKL2_HUMAN;CPSF2_HUMAN;KLC1_HUMAN;HEXA_HUMAN;HNRL2_HUMAN;GNPAT_HUMAN;ENPP4_HUMAN;CALX_HUMAN;MGT5A_HUMAN;ESYT1_HUMAN;MYL6_HUMAN;NECT1_HUMAN;MLF2_HUMAN;MRP7_HUMAN;NUFP2_HUMAN;MED13_HUMAN;TM233_HUMAN;PK3CD_HUMAN;PEX5_HUMAN;SPTN1_HUMAN;SORCN_HUMAN;RECQ4_HUMAN;STRN4_HUMAN;RL30_HUMAN;SIPA1_HUMAN;PTSS2_HUMAN;PLPL2_HUMAN;UBR4_HUMAN;ZNRF1_HUMAN;AP3D1_HUMAN;AT5F1_HUMAN;ANXA2_HUMAN;LAMP2_HUMAN;HM13_HUMAN;CD151_HUMAN;PCBP2_HUMAN;CREB3_HUMAN;5NTD_HUMAN;ADCY6_HUMAN;ERGI3_HUMAN;ANO10_HUMAN"	"49/313"
"445"	"linear_increasing"	"GO"	"0045723"	"positive regulation of fatty acid biosynthetic process "	"10/17829"	0.638977635782748	0.0560883953110102	0.0166703398834558	1	11.3923322683706	"M1IP1_HUMAN;NR1H2_HUMAN;APOA4_HUMAN"	"3/313"
"911"	"linear_increasing"	"GO"	"0101003"	"ficolin-1-rich granule membrane "	"56/17829"	1.2779552715655	0.314095013741657	0.0183499933140907	1	4.06869009584664	"ENPP4_HUMAN;VATL_HUMAN;T179B_HUMAN;UBR4_HUMAN;LAMP2_HUMAN"	"5/313"
"410"	"linear_increasing"	"GO"	"0043202"	"lysosomal lumen "	"90/17829"	1.59744408945687	0.504795557799091	0.0221749764407143	1	3.16453674121406	"LGMN_HUMAN;MANBA_HUMAN;GPC3_HUMAN;HEXA_HUMAN;NPC2_HUMAN;LAMP2_HUMAN"	"6/313"
