"enriched_for"	"type"	"Ontology_type"	"Ontology_accession"	"Ongology_description"	"Count_query"	"Count_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"
"low_in_FSGS_f"	"GO"	"GO"	"0002181"	"cytoplasmic translation "	"15/471"	"84/17829"	3.18471337579618	0.471142520612485	2.48800994262449e-08	7.85962340875075e-05	6.75955414012739	"RL35A_HUMAN;RS12_HUMAN;RSSA_HUMAN;RL34_HUMAN;RS6_HUMAN;RL7A_HUMAN;RL9_HUMAN;RL17_HUMAN;RS16_HUMAN;RS10_HUMAN;RL12_HUMAN;RL7_HUMAN;RS3_HUMAN;RL21_HUMAN;TMA7_HUMAN"
"low_in_FSGS_f"	"GO"	"GO"	"0022626"	"cytosolic ribosome "	"14/471"	"74/17829"	2.9723991507431	0.415054125301475	3.85380418997059e-08	0.000121741674361171	7.16147357548631	"RL35A_HUMAN;RS12_HUMAN;RSSA_HUMAN;RL34_HUMAN;RS6_HUMAN;RL7A_HUMAN;RL9_HUMAN;RL17_HUMAN;RS16_HUMAN;RS10_HUMAN;RL12_HUMAN;RL7_HUMAN;RS3_HUMAN;RL21_HUMAN"
"low_in_FSGS_f"	"GO"	"GO"	"0006412"	"translation "	"20/471"	"167/17829"	4.24628450106157	0.93667620169387	5.45644771383709e-08	0.000172369183280114	4.53335367481597	"RL10L_HUMAN;RL35A_HUMAN;RS12_HUMAN;RSSA_HUMAN;ERF3B_HUMAN;RM49_HUMAN;RS4Y1_HUMAN;RL34_HUMAN;RS6_HUMAN;RL7A_HUMAN;RL9_HUMAN;RL17_HUMAN;RS16_HUMAN;RS10_HUMAN;RL12_HUMAN;RL7_HUMAN;RS3_HUMAN;RL21_HUMAN;SYSC_HUMAN;EF1A2_HUMAN"
"low_in_FSGS_f"	"GO"	"GO"	"0042605"	"peptide antigen binding "	"8/471"	"20/17829"	1.69851380042463	0.11217679062202	2.9776946451892e-07	0.000940653738415269	15.1414012738854	"HLAF_HUMAN;HLAE_HUMAN;HLAG_HUMAN;DRB1_HUMAN;HLAC_HUMAN;HLAB_HUMAN;DPA1_HUMAN;DPB1_HUMAN"
"low_in_FSGS_f"	"GO"	"GO"	"0042612"	"MHC class I protein complex "	"6/471"	"7/17829"	1.27388535031847	0.0392618767177071	3.58942468636359e-07	0.00113389925842226	32.4458598726115	"HLAF_HUMAN;HLAE_HUMAN;B2MG_HUMAN;HLAG_HUMAN;HLAC_HUMAN;HLAB_HUMAN"
"low_in_FSGS_f"	"GO"	"GO"	"0071556"	"integral component of lumenal side of endoplasmic reticulum membrane "	"8/471"	"22/17829"	1.69851380042463	0.123394469684222	5.36506592508723e-07	0.00169482432573506	13.7649102489867	"HLAF_HUMAN;HLAE_HUMAN;HLAG_HUMAN;DRB1_HUMAN;HLAC_HUMAN;HLAB_HUMAN;DPA1_HUMAN;DPB1_HUMAN"
"low_in_FSGS_f"	"GO"	"GO"	"0003735"	"structural constituent of ribosome "	"17/471"	"149/17829"	3.60934182590234	0.835717090134051	1.00570633614837e-06	0.00317702631589271	4.31885606805455	"RL10L_HUMAN;RL35A_HUMAN;RS12_HUMAN;RSSA_HUMAN;RM49_HUMAN;RS4Y1_HUMAN;RL34_HUMAN;RS6_HUMAN;RL7A_HUMAN;RL9_HUMAN;RL17_HUMAN;RS16_HUMAN;RS10_HUMAN;RL12_HUMAN;RL7_HUMAN;RS3_HUMAN;RL21_HUMAN"
"low_in_FSGS_f"	"GO"	"GO"	"0070062"	"extracellular exosome "	"85/471"	"1936/17829"	18.0467091295117	10.8587133322116	1.72092939247084e-06	0.0054364159508154	1.66195649313049	"PGAM2_HUMAN;PDCD5_HUMAN;PALS1_HUMAN;RAB1B_HUMAN;RAB21_HUMAN;RL35A_HUMAN;TR150_HUMAN;RSSA_HUMAN;LG3BP_HUMAN;HS71A_HUMAN;H2B1L_HUMAN;H2B1M_HUMAN;HBA_HUMAN;H2A3_HUMAN;HLAE_HUMAN;METRL_HUMAN;H2B1H_HUMAN;B2MG_HUMAN;CSRP1_HUMAN;CBPQ_HUMAN;DEFB1_HUMAN;ADA15_HUMAN;GLNA_HUMAN;CEAM8_HUMAN;ANGT_HUMAN;K1C18_HUMAN;DRB1_HUMAN;GSTA1_HUMAN;CH3L1_HUMAN;HBB_HUMAN;K1C12_HUMAN;PAL4A_HUMAN;GAS6_HUMAN;PAIRB_HUMAN;PLPP1_HUMAN;ML12A_HUMAN;SPTN4_HUMAN;RL34_HUMAN;PKRI1_HUMAN;SEPT7_HUMAN;S22AD_HUMAN;ROA2_HUMAN;RS16_HUMAN;S10A6_HUMAN;PA1B2_HUMAN;TBB4B_HUMAN;SPB3_HUMAN;RL12_HUMAN;RS3_HUMAN;CR1_HUMAN;WNT7B_HUMAN;UB2V1_HUMAN;PPIA_HUMAN;RHOB_HUMAN;TGBR3_HUMAN;SYSC_HUMAN;MYH9_HUMAN;PXL2B_HUMAN;TPM3_HUMAN;UBB_HUMAN;TCPH_HUMAN;PODO_HUMAN;PP1B_HUMAN;RAP2B_HUMAN;RADI_HUMAN;AK1A1_HUMAN;ADHX_HUMAN;ARP3B_HUMAN;ITCH_HUMAN;NUCB2_HUMAN;DDX5_HUMAN;H33_HUMAN;NDRG2_HUMAN;HLAC_HUMAN;K2C8_HUMAN;HLAB_HUMAN;1433Z_HUMAN;CALL3_HUMAN;CO1A2_HUMAN;GGCT_HUMAN;1433E_HUMAN;CAB45_HUMAN;ARF6_HUMAN;AT1B1_HUMAN;ES8L2_HUMAN"
"low_in_FSGS_f"	"GO"	"GO"	"0003723"	"RNA binding "	"63/471"	"1288/17829"	13.3757961783439	7.22418531605811	1.94809188294426e-06	0.00615402225822091	1.85153004707837	"PHAX_HUMAN;PDCD4_HUMAN;RBM8A_HUMAN;RL35A_HUMAN;SNW1_HUMAN;TR150_HUMAN;SPS2L_HUMAN;SFPQ_HUMAN;RS12_HUMAN;RSSA_HUMAN;H10_HUMAN;HNRPU_HUMAN;HS71A_HUMAN;FPPS_HUMAN;FUS_HUMAN;CSRP1_HUMAN;EXOS3_HUMAN;EXOS6_HUMAN;H12_HUMAN;K1C18_HUMAN;FRG1_HUMAN;FCF1_HUMAN;PGS2_HUMAN;ERF3B_HUMAN;PAIRB_HUMAN;MEPCE_HUMAN;SPF45_HUMAN;RS4Y1_HUMAN;RL34_HUMAN;RS6_HUMAN;RL7A_HUMAN;RL9_HUMAN;ROA2_HUMAN;RL17_HUMAN;RS16_HUMAN;RED1_HUMAN;RS10_HUMAN;RL12_HUMAN;RL7_HUMAN;RS3_HUMAN;SCG3_HUMAN;TSN_HUMAN;ZC11A_HUMAN;PPIA_HUMAN;RL21_HUMAN;YBOX3_HUMAN;SYSC_HUMAN;ZMAT3_HUMAN;MYH9_HUMAN;PCID2_HUMAN;ZN346_HUMAN;TTP_HUMAN;RADI_HUMAN;CCD47_HUMAN;ICAL_HUMAN;NPM_HUMAN;DDX5_HUMAN;NOC2L_HUMAN;MKRN1_HUMAN;1433Z_HUMAN;CIRBP_HUMAN;1433E_HUMAN;BTF3_HUMAN"
"low_in_FSGS_f"	"GO"	"GO"	"0006334"	"nucleosome assembly "	"11/471"	"68/17829"	2.33545647558386	0.381401088114869	4.32322042411124e-06	0.0136570533197674	6.12336080929187	"TSYL2_HUMAN;H10_HUMAN;H2B1L_HUMAN;H2B1M_HUMAN;H2B1H_HUMAN;H12_HUMAN;H2B1J_HUMAN;RSF1_HUMAN;TSPY1_HUMAN;NPM_HUMAN;H33_HUMAN"
