"gene"	"enriched_in"	"Ontology_type"	"Ontology_accession"	"Ongology_description"	"Count_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"	"Count_query"
"WT1"	"correlated"	"GO"	"0070062"	"extracellular exosome "	"1936/17829"	24.4635193133047	10.8587133322116	5.7223882807165e-17	2.10011649902296e-13	2.25289300535594	"LAMB2_HUMAN;PLXB2_HUMAN;NEP_HUMAN;SMC2_HUMAN;PALS1_HUMAN;TAGL2_HUMAN;TMED9_HUMAN;SRSF7_HUMAN;S2611_HUMAN;TPA_HUMAN;SNAA_HUMAN;SEM3G_HUMAN;RNAS1_HUMAN;ALDH2_HUMAN;IQGA2_HUMAN;CRUM2_HUMAN;HLAE_HUMAN;FAT1_HUMAN;CDC37_HUMAN;ITM2B_HUMAN;KPCI_HUMAN;BGLR_HUMAN;DEFB1_HUMAN;ITA3_HUMAN;CD47_HUMAN;CHMP3_HUMAN;CTL2_HUMAN;COIA1_HUMAN;CATD_HUMAN;DAG1_HUMAN;MGT5A_HUMAN;NPHN_HUMAN;BST2_HUMAN;CHM1B_HUMAN;ITB8_HUMAN;ITB3_HUMAN;HTRA1_HUMAN;FA20C_HUMAN;LAMA5_HUMAN;CPNE3_HUMAN;EZRI_HUMAN;NECT2_HUMAN;NPNT_HUMAN;PLPP1_HUMAN;CFA70_HUMAN;RIPR1_HUMAN;NEBL_HUMAN;RHG23_HUMAN;PODXL_HUMAN;RNF11_HUMAN;ROA2_HUMAN;PSMD7_HUMAN;S10A6_HUMAN;PLAK_HUMAN;SERC5_HUMAN;SODC_HUMAN;SIA10_HUMAN;VIME_HUMAN;SCRB2_HUMAN;RRAS_HUMAN;SEM5A_HUMAN;MA2B2_HUMAN;PUR9_HUMAN;S10AG_HUMAN;UB2D2_HUMAN;UB2V2_HUMAN;PTPRO_HUMAN;TGBR3_HUMAN;PLD3_HUMAN;SYAP1_HUMAN;TBB2A_HUMAN;TTC38_HUMAN;PODO_HUMAN;VP37B_HUMAN;RB11A_HUMAN;QOR_HUMAN;ARHGC_HUMAN;CD9_HUMAN;ANXA1_HUMAN;DHSO_HUMAN;ARP2_HUMAN;ACTN4_HUMAN;ANXA2_HUMAN;HSP7C_HUMAN;IBP2_HUMAN;LAMP2_HUMAN;MYO1C_HUMAN;MXRA8_HUMAN;NAGK_HUMAN;H2AY_HUMAN;NHRF2_HUMAN;HLAC_HUMAN;LYAG_HUMAN;HLAB_HUMAN;CTDSL_HUMAN;IF4E_HUMAN;ITAV_HUMAN;BCAM_HUMAN;DYN1_HUMAN;ECM1_HUMAN;AMD_HUMAN;ARF4_HUMAN;AMPE_HUMAN;CILP1_HUMAN;CLIC1_HUMAN;CLIC5_HUMAN;GDIR2_HUMAN;DNJC3_HUMAN;AGRIN_HUMAN;AIF1L_HUMAN;ARF6_HUMAN;ARF1_HUMAN;CAN2_HUMAN;AQP1_HUMAN;EFNB1_HUMAN"	"115/466"
"WT1"	"correlated"	"GO"	"0005925"	"focal adhesion "	"392/17829"	7.72532188841202	2.1986650961916	1.88448462721322e-10	6.91605858187251e-07	3.51364193746168	"NEP_HUMAN;RHG07_HUMAN;LIPA1_HUMAN;FLRT3_HUMAN;FAT1_HUMAN;NFASC_HUMAN;EGLN_HUMAN;ITA3_HUMAN;GIT2_HUMAN;DAG1_HUMAN;GAK_HUMAN;NPHN_HUMAN;ITB8_HUMAN;ITB3_HUMAN;CPNE3_HUMAN;EZRI_HUMAN;NECT2_HUMAN;PLAK_HUMAN;SLAP1_HUMAN;VIME_HUMAN;SCRB2_HUMAN;PAK4_HUMAN;RRAS_HUMAN;TSN4_HUMAN;CD9_HUMAN;ANXA1_HUMAN;ARP2_HUMAN;ACTN4_HUMAN;HSP7C_HUMAN;NHRF2_HUMAN;ITAV_HUMAN;DYST_HUMAN;CASL_HUMAN;AIF1L_HUMAN;ARF6_HUMAN;ARF1_HUMAN;CAN2_HUMAN"	"37/466"
"WT1"	"correlated"	"GO"	"0016477"	"cell migration "	"237/17829"	4.72103004291846	1.32929496887094	5.85212119925877e-07	0.00214772848012797	3.55152930950182	"LAMB2_HUMAN;PLXB1_HUMAN;SH321_HUMAN;FAT1_HUMAN;KPCI_HUMAN;EGLN_HUMAN;CD47_HUMAN;ITB8_HUMAN;ITB3_HUMAN;LAMA5_HUMAN;NTNG1_HUMAN;PODXL_HUMAN;RND2_HUMAN;PLAK_HUMAN;PAK4_HUMAN;VGFR2_HUMAN;TYRO3_HUMAN;TGBR3_HUMAN;ITAV_HUMAN;ARF4_HUMAN;AMPE_HUMAN;CASL_HUMAN;CCN2_HUMAN"	"23/466"
"WT1"	"correlated"	"GO"	"0005178"	"integrin binding "	"142/17829"	3.43347639484979	0.796455213416344	2.11894067603925e-06	0.00777651228106404	4.31094722843499	"LAMB2_HUMAN;CXAR_HUMAN;ITA3_HUMAN;FGF1_HUMAN;ITB8_HUMAN;ITB3_HUMAN;LAMA5_HUMAN;NPNT_HUMAN;PLPP3_HUMAN;TSN4_HUMAN;VGFR2_HUMAN;CD9_HUMAN;ACTN4_HUMAN;ITAV_HUMAN;DYST_HUMAN;CO4A3_HUMAN;CCN2_HUMAN"	"17/466"
"WT1"	"correlated"	"GO"	"0045766"	"positive regulation of angiogenesis "	"133/17829"	3.00429184549356	0.745975657636435	1.84748453166766e-05	0.067802682312203	4.02733227919584	"HIF1A_HUMAN;EGLN_HUMAN;FGF1_HUMAN;ITB8_HUMAN;EMC10_HUMAN;PLAK_HUMAN;PAK4_HUMAN;RRAS_HUMAN;SEM5A_HUMAN;VGFR2_HUMAN;VEGFA_HUMAN;TGFR2_HUMAN;HIPK2_HUMAN;ECM1_HUMAN;AQP1_HUMAN"	"15/466"
"WT1"	"correlated"	"GO"	"0001570"	"vasculogenesis "	"56/17829"	1.931330472103	0.314095013741657	3.11364392645651e-05	0.114270732100954	6.14887339055794	"EGFL7_HUMAN;HDAC7_HUMAN;CITE2_HUMAN;EGLN_HUMAN;ITB8_HUMAN;WT1_HUMAN;VGFR2_HUMAN;VEGFA_HUMAN;TGFR2_HUMAN;ITAV_HUMAN"	"10/466"
"WT1"	"correlated"	"GO"	"0005737"	"cytoplasm "	"4424/17829"	32.8326180257511	24.8135060855909	3.16082934126169e-05	0.116002436824304	1.32317528657576	"PHAR4_HUMAN;PIWL2_HUMAN;NEP_HUMAN;RHG07_HUMAN;SMC2_HUMAN;PALS1_HUMAN;TAFA2_HUMAN;RHG29_HUMAN;S14L1_HUMAN;SMAD3_HUMAN;TRI48_HUMAN;TRIB2_HUMAN;TICN1_HUMAN;SRSF7_HUMAN;TPA_HUMAN;SRG2B_HUMAN;HIF1A_HUMAN;LIPA1_HUMAN;M3K2_HUMAN;DACH1_HUMAN;INT11_HUMAN;ABRX2_HUMAN;CP2D7_HUMAN;IQGA2_HUMAN;CRUM2_HUMAN;FRM4B_HUMAN;DUS23_HUMAN;HDAC2_HUMAN;CDC37_HUMAN;CP26B_HUMAN;MACF1_HUMAN;EIF3A_HUMAN;HDAC7_HUMAN;IRF9_HUMAN;CXAR_HUMAN;CITE2_HUMAN;DC2I2_HUMAN;IF4A3_HUMAN;EMX1_HUMAN;HMBX1_HUMAN;DGCR8_HUMAN;DYLT1_HUMAN;FXDC2_HUMAN;GA45A_HUMAN;FUBP2_HUMAN;FGF1_HUMAN;DCAF8_HUMAN;CASPC_HUMAN;CDN1C_HUMAN;DAG1_HUMAN;ELMD3_HUMAN;GAK_HUMAN;OAZ1_HUMAN;DYLT3_HUMAN;MPIP3_HUMAN;MT21A_HUMAN;LBH_HUMAN;KLK6_HUMAN;CPNE3_HUMAN;EZRI_HUMAN;NLK_HUMAN;NEST_HUMAN;NR1H2_HUMAN;PALD_HUMAN;RIPR1_HUMAN;NCBP2_HUMAN;CD123_HUMAN;MLX_HUMAN;NRK1_HUMAN;SGK1_HUMAN;PRAX_HUMAN;PABP2_HUMAN;RIM3B_HUMAN;SPIT2_HUMAN;PODXL_HUMAN;ROA2_HUMAN;SARM1_HUMAN;S10A6_HUMAN;TCIM_HUMAN;PLAK_HUMAN;SMAD6_HUMAN;ST1A4_HUMAN;PKHA2_HUMAN;SODC_HUMAN;SSH2_HUMAN;ST38L_HUMAN;VIME_HUMAN;SCRB2_HUMAN;PAK4_HUMAN;TXNIP_HUMAN;RHG28_HUMAN;RYK_HUMAN;SPRC_HUMAN;IRX3_HUMAN;NRIP2_HUMAN;WT1_HUMAN;S10AG_HUMAN;UB2V2_HUMAN;VEGFA_HUMAN;PTH1R_HUMAN;PRVA_HUMAN;TRPC6_HUMAN;TGBR3_HUMAN;ZMY15_HUMAN;UBA7_HUMAN;TPPP3_HUMAN;SYAP1_HUMAN;TBB2A_HUMAN;TYB10_HUMAN;PKHH2_HUMAN;ZBT20_HUMAN;TBG2_HUMAN;TGS1_HUMAN;ZFN2B_HUMAN;VP37B_HUMAN;RBM19_HUMAN;BL1S6_HUMAN;ARHGC_HUMAN;ANXA1_HUMAN;DEND_HUMAN;ASPP2_HUMAN;ARP2_HUMAN;BIRC3_HUMAN;ACTN4_HUMAN;ANXA2_HUMAN;HSP7C_HUMAN;IKBA_HUMAN;EXOS4_HUMAN;MYO1C_HUMAN;NAA20_HUMAN;HIPK2_HUMAN;IF4E_HUMAN;DYN1_HUMAN;DYST_HUMAN;BEX4_HUMAN;AF1L2_HUMAN;AMPE_HUMAN;CLU_HUMAN;CLD1_HUMAN;CLIC1_HUMAN;GDIR2_HUMAN;GGNB2_HUMAN;BI1_HUMAN;DNJC3_HUMAN;CASL_HUMAN;DDT4L_HUMAN;GBRL2_HUMAN;BORG2_HUMAN;AIF1L_HUMAN;CAN2_HUMAN;AQP1_HUMAN;ARHGF_HUMAN;BCAS3_HUMAN;EFNB1_HUMAN"	"154/466"
"WT1"	"correlated"	"GO"	"0030336"	"negative regulation of cell migration "	"111/17829"	2.57510729613734	0.622581187952213	5.72338179540027e-05	0.21004811189119	4.13617909755249	"RHG07_HUMAN;RNF41_HUMAN;SRG2B_HUMAN;DACH1_HUMAN;CITE2_HUMAN;EGLN_HUMAN;DAG1_HUMAN;BST2_HUMAN;RRAS_HUMAN;SULF1_HUMAN;RECK_HUMAN;TCAF1_HUMAN;IBP5_HUMAN"	"13/466"
"WT1"	"correlated"	"GO"	"0001525"	"angiogenesis "	"218/17829"	3.6480686695279	1.22272701778002	8.64112681688095e-05	0.317129354179531	2.98355120683545	"SHB_HUMAN;HIF1A_HUMAN;EGFL7_HUMAN;COIA1_HUMAN;FGF1_HUMAN;EMC10_HUMAN;APEL_HUMAN;TNAP2_HUMAN;VGFR2_HUMAN;VEGFA_HUMAN;THS7A_HUMAN;ANXA2_HUMAN;NDNF_HUMAN;ITAV_HUMAN;ECM1_HUMAN;AMPE_HUMAN;BCAS3_HUMAN;CCN2_HUMAN"	"18/466"
"WT1"	"correlated"	"GO"	"0005539"	"glycosaminoglycan binding "	"26/17829"	1.28755364806867	0.145829827808626	0.000119376986963084	0.438113542154517	8.82915153516012	"TICN2_HUMAN;EGLN_HUMAN;SULF1_HUMAN;TGBR3_HUMAN;SULF2_HUMAN;TGFR2_HUMAN;NDNF_HUMAN"	"7/466"
