"","Uniprot_accession","Uniprot_name","description","OrganismName","OrganismIdentifier","GeneName","ProteinExistence","SequenceVersion"
"1","A0A0B4J2F0","PIOS1_HUMAN","Protein PIGBOS1","Homo sapiens","9606","PIGBOS1","1","1"
"2","A0A0B4J2F2","SIK1B_HUMAN","Putative serine/threonine-protein kinase SIK1B","Homo sapiens","9606","SIK1B","5","1"
"3","A0A0C5B5G6","MOTSC_HUMAN","Mitochondrial-derived peptide MOTS-c","Homo sapiens","9606","MT-RNR1","1","1"
"4","A0A0K2S4Q6","CD3CH_HUMAN","Protein CD300H","Homo sapiens","9606","CD300H","1","1"
"5","A0A0U1RRE5","NBDY_HUMAN","Negative regulator of P-body association","Homo sapiens","9606","NBDY","1","1"
"6","A0A1B0GTW7","CIROP_HUMAN","Ciliated left-right organizer metallopeptidase","Homo sapiens","9606","CIROP","1","1"
"7","A0AV02","S12A8_HUMAN","Solute carrier family 12 member 8","Homo sapiens","9606","SLC12A8","1","4"
"8","A0AV96","RBM47_HUMAN","RNA-binding protein 47","Homo sapiens","9606","RBM47","1","2"
"9","A0AVF1","IFT56_HUMAN","Intraflagellar transport protein 56","Homo sapiens","9606","TTC26","1","1"
"10","A0AVI4","TM129_HUMAN","E3 ubiquitin-protein ligase TM129","Homo sapiens","9606","TMEM129","1","1"
"11","A0AVK6","E2F8_HUMAN","Transcription factor E2F8","Homo sapiens","9606","E2F8","1","1"
"12","A0AVT1","UBA6_HUMAN","Ubiquitin-like modifier-activating enzyme 6","Homo sapiens","9606","UBA6","1","1"
"13","A0FGR8","ESYT2_HUMAN","Extended synaptotagmin-2","Homo sapiens","9606","ESYT2","1","1"
"14","A0FGR9","ESYT3_HUMAN","Extended synaptotagmin-3","Homo sapiens","9606","ESYT3","1","1"
"15","A0JLT2","MED19_HUMAN","Mediator of RNA polymerase II transcription subunit 19","Homo sapiens","9606","MED19","1","2"
"16","A0JNW5","BLT3B_HUMAN","Bridge-like lipid transfer protein family member 3B","Homo sapiens","9606","BLTP3B","1","2"
"17","A0JP26","POTB3_HUMAN","POTE ankyrin domain family member B3","Homo sapiens","9606","POTEB3","1","2"
"18","A0MZ66","SHOT1_HUMAN","Shootin-1","Homo sapiens","9606","SHTN1","1","4"
"19","A0PJK1","SC5AA_HUMAN","Sodium/mannose cotransporter SLC5A10","Homo sapiens","9606","SLC5A10","1","2"
"20","A0PJY2","FEZF1_HUMAN","Fez family zinc finger protein 1","Homo sapiens","9606","FEZF1","1","1"
"21","A0PK00","T120B_HUMAN","Transmembrane protein 120B","Homo sapiens","9606","TMEM120B","1","1"
"22","A0PK11","CLRN2_HUMAN","Clarin-2","Homo sapiens","9606","CLRN2","1","1"
"23","A1A4S6","RHG10_HUMAN","Rho GTPase-activating protein 10","Homo sapiens","9606","ARHGAP10","1","1"
"24","A1A4Y4","IRGM_HUMAN","Immunity-related GTPase family M protein","Homo sapiens","9606","IRGM","1","2"
"25","A1A519","F170A_HUMAN","Protein FAM170A","Homo sapiens","9606","FAM170A","2","1"
"26","A1A5B4","ANO9_HUMAN","Anoctamin-9","Homo sapiens","9606","ANO9","1","3"
"27","A1A5C7","S22AN_HUMAN","Solute carrier family 22 member 23","Homo sapiens","9606","SLC22A23","1","2"
"28","A1E959","ODAM_HUMAN","Odontogenic ameloblast-associated protein","Homo sapiens","9606","ODAM","1","1"
"29","A1KXE4","F168B_HUMAN","Myelin-associated neurite-outgrowth inhibitor","Homo sapiens","9606","FAM168B","1","1"
"30","A1KZ92","PXDNL_HUMAN","Probable oxidoreductase PXDNL","Homo sapiens","9606","PXDNL","1","3"
"31","A1L0T0","HACL2_HUMAN","2-hydroxyacyl-CoA lyase 2","Homo sapiens","9606","ILVBL","1","2"
"32","A1L167","U2QL1_HUMAN","Ubiquitin-conjugating enzyme E2Q-like protein 1","Homo sapiens","9606","UBE2QL1","1","2"
"33","A1L190","SYCE3_HUMAN","Synaptonemal complex central element protein 3","Homo sapiens","9606","SYCE3","1","1"
"34","A1L390","PKHG3_HUMAN","Pleckstrin homology domain-containing family G member 3","Homo sapiens","9606","PLEKHG3","1","1"
"35","A1L3X0","ELOV7_HUMAN","Elongation of very long chain fatty acids protein 7","Homo sapiens","9606","ELOVL7","1","1"
"36","A1L4H1","SRCRL_HUMAN","Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D","Homo sapiens","9606","SSC5D","1","3"
"37","A1L4K1","FSD2_HUMAN","Fibronectin type III and SPRY domain-containing protein 2","Homo sapiens","9606","FSD2","1","1"
"38","A1X283","SPD2B_HUMAN","SH3 and PX domain-containing protein 2B","Homo sapiens","9606","SH3PXD2B","1","3"
"39","A1XBS5","CBAR1_HUMAN","CBY1-interacting BAR domain-containing protein 1","Homo sapiens","9606","CIBAR1","1","2"
"40","A1Z1Q3","MACD2_HUMAN","ADP-ribose glycohydrolase MACROD2","Homo sapiens","9606","MACROD2","1","2"
"41","A2A288","ZC12D_HUMAN","Probable ribonuclease ZC3H12D","Homo sapiens","9606","ZC3H12D","1","3"
"42","A2A2Y4","FRMD3_HUMAN","FERM domain-containing protein 3","Homo sapiens","9606","FRMD3","1","1"
"43","A2IDD5","CCD78_HUMAN","Coiled-coil domain-containing protein 78","Homo sapiens","9606","CCDC78","1","1"
"44","A2PYH4","HFM1_HUMAN","Probable ATP-dependent DNA helicase HFM1","Homo sapiens","9606","HFM1","1","2"
"45","A2RRP1","NBAS_HUMAN","NBAS subunit of NRZ tethering complex","Homo sapiens","9606","NBAS","1","2"
"46","A2RTX5","SYTC2_HUMAN","Threonine--tRNA ligase 2, cytoplasmic","Homo sapiens","9606","TARS3","1","1"
"47","A2RU14","TM218_HUMAN","Transmembrane protein 218","Homo sapiens","9606","TMEM218","1","1"
"48","A2RU30","TESP1_HUMAN","Protein TESPA1","Homo sapiens","9606","TESPA1","1","2"
"49","A2RU49","HYKK_HUMAN","Hydroxylysine kinase","Homo sapiens","9606","HYKK","1","2"
"50","A2RUB1","MEIOC_HUMAN","Meiosis-specific coiled-coil domain-containing protein MEIOC","Homo sapiens","9606","MEIOC","2","3"
"51","A2RUB6","CCD66_HUMAN","Coiled-coil domain-containing protein 66","Homo sapiens","9606","CCDC66","1","4"
"52","A2RUC4","TYW5_HUMAN","tRNA wybutosine-synthesizing protein 5","Homo sapiens","9606","TYW5","1","1"
"53","A2RUH7","MBPHL_HUMAN","Myosin-binding protein H-like","Homo sapiens","9606","MYBPHL","1","2"
"54","A2VDJ0","T131L_HUMAN","Transmembrane protein 131-like","Homo sapiens","9606","TMEM131L","1","2"
"55","A2VEC9","SSPO_HUMAN","SCO-spondin","Homo sapiens","9606","SSPOP","2","2"
"56","A3KMH1","VWA8_HUMAN","von Willebrand factor A domain-containing protein 8","Homo sapiens","9606","VWA8","1","2"
"57","A4D0S4","LAMB4_HUMAN","Laminin subunit beta-4","Homo sapiens","9606","LAMB4","2","1"
"58","A4D126","ISPD_HUMAN","D-ribitol-5-phosphate cytidylyltransferase","Homo sapiens","9606","CRPPA","1","2"
"59","A4D161","F221A_HUMAN","Protein FAM221A","Homo sapiens","9606","FAM221A","1","1"
"60","A4D1B5","GSAP_HUMAN","Gamma-secretase-activating protein","Homo sapiens","9606","GSAP","1","2"
"61","A4D1E9","GTPBA_HUMAN","GTP-binding protein 10","Homo sapiens","9606","GTPBP10","1","1"
"62","A4D1P6","WDR91_HUMAN","WD repeat-containing protein 91","Homo sapiens","9606","WDR91","1","2"
"63","A4D1T9","PRS37_HUMAN","Probable inactive serine protease 37","Homo sapiens","9606","PRSS37","1","1"
"64","A4D256","CC14C_HUMAN","Dual specificity protein phosphatase CDC14C","Homo sapiens","9606","CDC14C","2","3"
"65","A4D2B0","MBLC1_HUMAN","Metallo-beta-lactamase domain-containing protein 1","Homo sapiens","9606","MBLAC1","1","1"
"66","A4D2B8","PM2P1_HUMAN","Putative postmeiotic segregation increased 2-like protein 1","Homo sapiens","9606","PMS2P1","5","1"
"67","A4GXA9","EME2_HUMAN","Probable crossover junction endonuclease EME2","Homo sapiens","9606","EME2","1","3"
"68","A4UGR9","XIRP2_HUMAN","Xin actin-binding repeat-containing protein 2","Homo sapiens","9606","XIRP2","1","2"
"69","A5D8T8","CL18A_HUMAN","C-type lectin domain family 18 member A","Homo sapiens","9606","CLEC18A","1","3"
"70","A5D8V6","VP37C_HUMAN","Vacuolar protein sorting-associated protein 37C","Homo sapiens","9606","VPS37C","1","2"
"71","A5D8V7","ODAD3_HUMAN","Outer dynein arm-docking complex subunit 3","Homo sapiens","9606","ODAD3","1","1"
"72","A5D8W1","CFA69_HUMAN","Cilia- and flagella-associated protein 69","Homo sapiens","9606","CFAP69","1","3"
"73","A5LHX3","PSB11_HUMAN","Proteasome subunit beta type-11","Homo sapiens","9606","PSMB11","1","1"
"74","A5PKW4","PSD1_HUMAN","PH and SEC7 domain-containing protein 1","Homo sapiens","9606","PSD","1","2"
"75","A5PLL7","PDES1_HUMAN","Plasmanylethanolamine desaturase","Homo sapiens","9606","PEDS1","1","3"
