"enriched_in"	"Category"	"Term_accession"	"Term_description"	"Count_query"	"Pop_query"	"Count_universe"	"Pop_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"
"up_in_FSGS_adult"	"GO_BP"	"0031016"	"pancreas development "	6	434	11	6459	1.15207373271889	0.170305000774114	0.00225793025185982	1	6.76476749057394	"O14770;P35222;P35680;Q15796;Q71H61;Q9BWF3"
"up_in_FSGS_adult"	"GO_BP"	"0008285"	"negative regulation of cell population proliferation "	25	434	186	6459	5.52995391705069	2.87970274036229	0.00339453243821818	1	1.92032109409841	"O14745;O43294;O75094;O75143;O75204;O94760;O94880;O95751;P07996;P12643;P13164;P20138;P23771;P31949;P35222;P41217;P52756;P62324;Q13363;Q15796;Q63ZY3;Q8WU17;Q96TA1;Q9UHI8;Q9Y653"
"up_in_FSGS_adult"	"GO_BP"	"0030198"	"extracellular matrix organization "	10	434	45	6459	2.07373271889401	0.696702275894101	0.00563818433556199	1	2.97649769585253	"P02461;P05997;P0C7T5;P16234;P27658;P39059;P51693;Q02388;Q9HBX9;Q9UHI8"
"up_in_FSGS_adult"	"GO_BP"	"0016477"	"cell migration "	17	434	117	6459	3.68663594470046	1.81142591732466	0.0100027107794255	1	2.03521209972823	"P07996;P09619;P17948;P19174;P31431;P52735;P55287;P62324;Q13618;Q14511;Q8WX93;Q93008;Q9GZM8;Q9H792;Q9NYB9;Q9UHB6;Q9Y653"
"up_in_FSGS_adult"	"GO_BP"	"0032922"	"circadian regulation of gene expression "	8	434	38	6459	1.61290322580645	0.588326366310574	0.0201228248959409	1	2.74151103565365	"O15534;P20393;P35680;P35869;Q06210;Q969G5;Q9BWF3;Q9BXB1"
"up_in_FSGS_adult"	"GO_BP"	"0030539"	"male genitalia development "	4	434	7	6459	0.691244239631336	0.108375909583527	0.0207467401402863	1	6.37820934825543	"O15119;P16234;P35222;Q9BXB1"
"up_in_FSGS_adult"	"GO_BP"	"0044331"	"cell-cell adhesion mediated by cadherin "	4	434	7	6459	0.691244239631336	0.108375909583527	0.0207467401402863	1	6.37820934825543	"O60716;P12830;P55196;P55287"
"up_in_FSGS_adult"	"GO_BP"	"0043552"	"positive regulation of phosphatidylinositol 3-kinase activity "	5	434	15	6459	0.921658986175115	0.2322340919647	0.0272877917025054	1	3.96866359447005	"P09619;P16234;P17948;P32248;P52735"
"up_in_FSGS_adult"	"GO_BP"	"0060337"	"type I interferon-mediated signaling pathway "	6	434	23	6459	1.15207373271889	0.356092274345874	0.0274413602010182	1	3.23532358244841	"P00973;P13164;P17181;P23458;P48551;Q01628"
"up_in_FSGS_adult"	"GO_BP"	"0001525"	"angiogenesis "	16	434	121	6459	3.45622119815668	1.87335500851525	0.0292234008805725	1	1.84493658833835	"P04216;P15144;P17948;P21333;P27658;P36382;P39059;P52735;P78504;Q05682;Q08431;Q5U651;Q8IZJ1;Q8N3E9;Q9NZI7;Q9Y653"
"up_in_FSGS_adult"	"GO_BP"	"0045599"	"negative regulation of fat cell differentiation "	6	434	24	6459	1.15207373271889	0.371574547143521	0.0315189716705281	1	3.10051843317972	"O43294;P12643;P23771;P78504;Q8IXJ6;Q9GZV5"
"up_in_FSGS_adult"	"GO_BP"	"0018108"	"peptidyl-tyrosine phosphorylation "	6	434	24	6459	1.15207373271889	0.371574547143521	0.0315189716705281	1	3.10051843317972	"P09619;P16234;P17948;P49759;Q12805;Q9NYB9"
"up_in_FSGS_adult"	"GO_BP"	"0035025"	"positive regulation of Rho protein signal transduction "	5	434	16	6459	0.921658986175115	0.247716364762347	0.0324804200312578	1	3.72062211981567	"P02461;P09619;P46093;Q9BZR6;Q9Y653"
"up_in_FSGS_adult"	"GO_BP"	"0016525"	"negative regulation of angiogenesis "	8	434	43	6459	1.61290322580645	0.665737730298808	0.0339863303555664	1	2.42273068267067	"O75116;P07996;P16066;P35222;P46093;Q8NCW5;Q96TA1;Q9UHI8"
"up_in_FSGS_adult"	"GO_BP"	"0046597"	"negative regulation of viral entry into host cell "	4	434	9	6459	0.691244239631336	0.13934045517882	0.0346678060324566	1	4.96082949308756	"P06396;P13164;Q01628;Q9BZR9"
