"category"	"Category"	"Term_accession"	"Term_description"	"Count_query"	"Pop_query"	"Count_universe"	"Pop_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"
"up_in_tubules"	"GO_BP"	"0042776"	"proton motive force-driven mitochondrial ATP synthesis "	41	935	46	4387	4.27807486631016	1.04855254160018	2.97098316216777e-10	1.05945259562903e-06	4.07998139967449	"O00217;O14521;O14561;O15239;O43181;O43674;O43676;O43678;O43920;O75251;O75306;O75438;O75489;O95139;O95169;O95299;O96000;P06576;P18859;P19404;P21912;P24539;P25705;P28331;P30049;P31040;P36542;P48047;P49821;P51970;P56134;P56181;Q16718;Q9P0J0;Q9Y6M9;O43677;O75380;O75947;O75964;O95178;P56385"
"up_in_tubules"	"GO_BP"	"0009060"	"aerobic respiration "	33	935	39	4387	3.42245989304813	0.888990198313198	4.7112265575439e-08	8.40011695210077e-05	3.84982860276978	"O00217;O14561;O15239;O43181;O43674;O43676;O43678;O43920;O75251;O75306;O75438;O75489;O95139;O95169;O95299;O96000;P04040;P19404;P21912;P22695;P28331;P30049;P31930;P40926;P49821;P51970;P56181;Q16718;Q9P0J0;Q9Y6M9;O43677;O75380;O95178"
"up_in_tubules"	"GO_BP"	"0006120"	"mitochondrial electron transport, NADH to ubiquinone "	28	935	34	4387	2.88770053475936	0.775017095965352	8.33363203089831e-07	0.000742943295554584	3.72598301352627	"O00217;O14561;O15239;O43181;O43674;O43676;O43678;O43920;O75208;O75251;O75306;O75438;O75489;O95139;O95169;O95299;O96000;P09622;P19404;P28331;P49821;P51970;P56181;Q16718;Q9Y6M9;O43677;O75380;O95178"
"up_in_tubules"	"GO_BP"	"0006635"	"fatty acid beta-oxidation "	24	935	27	4387	2.45989304812834	0.615454752678368	2.41320050235786e-06	0.00122935328448687	3.9968706674589	"O14975;O75521;P09110;P11310;P16219;P22307;P23786;P24752;P30084;P40939;P42126;P42765;P55084;P58004;Q08426;Q13825;Q16698;Q16836;Q6JQN1;Q709F0;Q99714;Q9BUT1;Q9NTX5;Q86YB7"
"up_in_tubules"	"GO_BP"	"0006099"	"tricarboxylic acid cycle "	21	935	24	4387	2.13903743315508	0.54707089126966	1.37574580973342e-05	0.00490590955750938	3.90998217468806	"O14521;O43837;O75390;O75874;P07954;P08559;P10515;P21399;P21912;P31040;P36957;P40925;P40926;P48735;P53597;Q02218;Q13423;Q96I99;Q99798;Q9ULD0;P82909"
"up_in_tubules"	"GO_BP"	"0032981"	"mitochondrial respiratory chain complex I assembly "	24	935	33	4387	2.45989304812834	0.752222475495783	2.44778266963332e-05	0.00727399416659367	3.2701669097391	"O00217;O14561;O15239;O43181;O43674;O43676;O43678;O43920;O75251;O75306;O75438;O75489;O95139;O95169;O95299;O95831;O96000;P28331;P51970;Q16718;Q9P0J0;Q9Y6M9;O43677;O95178"
"up_in_tubules"	"GO_BP"	"1902600"	"proton transmembrane transport "	21	935	28	4387	2.13903743315508	0.638249373147937	6.47198530936507e-05	0.0172362712263024	3.35141329258976	"O15342;P05023;P05026;P06576;P15313;P15954;P21281;P27449;P38606;P48047;P54710;P56134;P61421;Q13423;Q16864;Q8NHE4;Q93050;Q99437;Q9UI12;Q9Y5K8;A0A096LP55"
"up_in_tubules"	"GO_BP"	"0015986"	"proton motive force-driven ATP synthesis "	16	935	16	4387	1.60427807486631	0.364713927513107	6.79679484619712e-05	0.0172362712263024	4.39872994652406	"P05496;P06576;P18859;P24539;P25705;P30049;P36542;P48047;P48201;P56134;Q06055;Q96IX5;O75947;O75964;P56378;P56385"
"up_in_tubules"	"GO_BP"	"0005975"	"carbohydrate metabolic process "	28	935	47	4387	2.88770053475936	1.07134716206975	7.25025430158543e-05	0.0172362712263024	2.69539196723177	"O75191;O75390;P05091;P06213;P06744;P08195;P11168;P16278;P16442;P30837;P31639;P33908;P37837;P46926;P48735;P51606;Q01415;Q07837;Q12794;Q14165;Q3LXA3;Q96C23;Q9BRB3;Q9BXD5;Q9HCG7;Q9UEF7;P19961;Q6UWU2"
"up_in_tubules"	"GO_BP"	"0045333"	"cellular respiration "	16	935	19	4387	1.60427807486631	0.433097788921814	0.000249692097254649	0.0480547524353743	3.70419363917816	"O14949;O43181;P09669;P10176;P10606;P12074;P13073;P14854;P15954;P20674;P22695;P28331;P31930;P47985;Q9UBK2;Q9UJS0"
"up_in_tubules"	"GO_BP"	"0006094"	"gluconeogenesis "	17	935	22	4387	1.71122994652406	0.501481650330522	0.000300845065078609	0.053640675103516	3.41234807972776	"O43826;P00558;P06744;P09467;P17174;P21695;P35558;P35575;P40925;P40926;P60174;Q02978;Q07869;Q16822;Q9UBK2;Q9UBX3;Q9UJS0"
"up_in_tubules"	"GO_BP"	"0006631"	"fatty acid metabolic process "	17	935	24	4387	1.71122994652406	0.54707089126966	0.000601316123825785	0.101636315632308	3.12798573975045	"O60488;P05165;P05166;P07108;P45954;P49753;P51648;Q07869;Q13510;Q86TX2;Q8WXI4;Q96CM8;Q99714;Q9BT30;Q9HCS2;Q9Y2S2;Q96DC8"
"up_in_tubules"	"GO_BP"	"0006805"	"xenobiotic metabolic process "	19	935	30	4387	1.92513368983957	0.683838614087075	0.000799658257608881	0.118815889443053	2.8151871657754	"O00748;P08183;P08263;P09210;P16152;P16435;P16662;P20815;P41235;P51580;P78329;Q01740;Q16772;Q6IB77;Q86WA6;Q8TAV3;Q92887;Q9HCS2;Q9Y694"
"up_in_tubules"	"GO_BP"	"0006103"	"2-oxoglutarate metabolic process "	11	935	11	4387	1.06951871657754	0.250740825165261	0.00134073997361808	0.177076990589707	4.2654350996597	"O14832;O43837;O75874;P00505;P17174;P36957;P48735;Q02218;Q8N465;Q9ULD0;P82909"
