"enriched_in"	"Category"	"Term_accession"	"Term_description"	"Count_query"	"Pop_query"	"Count_universe"	"Pop_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"
"up_in_AS_adult"	"GO_BP"	"0001570"	"vasculogenesis "	14	549	35	6459	2.36794171220401	0.541879547917634	4.87324665383428e-05	0.135914849175438	4.36986729117877	"O14786;P15692;P19544;P35713;P35968;P37173;P46937;Q07352;Q12965;Q16620;Q4VCS5;Q8N302;Q96PU8;Q9ULI3"
"up_in_AS_adult"	"GO_BP"	"0007411"	"axon guidance "	15	549	49	6459	2.55009107468124	0.758631367084688	0.000256941414251186	0.358304802173278	3.36143637782982	"O00264;O14786;O75592;O94856;P23771;P33176;P46531;P52799;P55268;Q12860;Q14118;Q8WX93;Q96TA1;Q9NRY4;Q9UM47"
"up_in_AS_adult"	"GO_BP"	"0072091"	"regulation of stem cell proliferation "	6	549	7	6459	0.910746812386157	0.108375909583527	0.00137709293323861	1	8.40359094457455	"P26583;P35713;P37173;P46531;P46937;Q07352"
"down_in_AS_adult"	"GO_BP"	"0006355"	"regulation of DNA-templated transcription "	55	891	252	6459	6.06060606060606	3.90153274500697	0.00295409572041738	1	1.55339105339105	"O15527;O43186;O60427;O75362;O75365;O95704;P15336;P17676;P23511;P27797;P28698;P35637;P46100;P48431;P51531;P52744;Q03923;Q06945;Q6IE81;Q8TAU3;Q92766;Q96SQ5;Q96T23;Q99697;Q9BPZ2;Q9GZX5;Q9HCU4;O75346;P17019;P17032;P17035;Q6ECI4;Q7Z340;Q86Y25;Q9Y6Q3;B4DU55;O75373;P10075;Q03938;Q0VGE8;Q5JVG8;Q5VIY5;Q68DI1;Q6ZN06;Q86XN6;Q8IYB9;Q8N141;Q8N823;Q8TF32;Q8TF45;Q9H8G1;Q9HCZ1;Q9P255;P0CJ79;P0DPD5"
"up_in_AS_adult"	"GO_BP"	"0000122"	"negative regulation of transcription by RNA polymerase II "	52	549	390	6459	9.2896174863388	6.03808639108221	0.00316306767883413	1	1.5385035729298	"O14770;O15119;O43623;O43680;O75444;O75461;O94880;O95365;O95931;P04150;P12755;P12757;P15692;P17036;P17544;P19544;P19793;P20393;P23771;P24385;P24468;P25490;P26583;P35713;P45973;P46531;P46937;P49918;P61077;P63104;Q02078;Q02363;Q13029;Q13227;Q14995;Q53H80;Q63ZY3;Q6KC79;Q6NT76;Q7LFL8;Q86UZ6;Q92802;Q92870;Q93008;Q96BF6;Q99626;Q9BZK7;Q9GZV5;Q9UM47;Q9UQR1;Q6ZN79;Q9Y2B9"
"up_in_AS_adult"	"GO_BP"	"0001525"	"angiogenesis "	22	549	121	6459	3.82513661202186	1.87335500851525	0.00373605018160759	1	2.04186424603712	"O14786;P04216;P07355;P08648;P15692;P17948;P23467;P35579;P35613;P35713;P35968;P36382;P39059;P63104;Q05682;Q4VCS5;Q5UCC4;Q8IZJ1;Q8N302;Q9BZL6;Q9NZ08;Q9ULZ1"
"up_in_AS_adult"	"GO_BP"	"0045944"	"positive regulation of transcription by RNA polymerase II "	58	549	452	6459	10.3825136612022	6.99798730453631	0.00434005742786435	1	1.48364282605542	"O00159;O00571;O14686;O14770;O15119;O15455;O43680;O75150;O94850;O94916;P04150;P07355;P07947;P12755;P15692;P17544;P19544;P19793;P20393;P23193;P23771;P24468;P25490;P25791;P26583;P35713;P46531;P46937;P53708;P60033;Q02078;Q02447;Q10586;Q13029;Q13227;Q13503;Q14995;Q15366;Q16236;Q16254;Q49A26;Q53H80;Q68DE3;Q6KC79;Q8WWI1;Q92870;Q99626;Q9BZK7;Q9BZL6;Q9GZV5;Q9NP71;Q9NY61;Q9NYF8;Q9P1Z2;Q9UHV7;Q9UM47;Q9UQR1;P20962"
"up_in_AS_adult"	"GO_BP"	"0045766"	"positive regulation of angiogenesis "	15	549	68	6459	2.55009107468124	1.05279455023998	0.00513857239262709	1	2.42221150755384	"O14786;O15455;O15530;O43184;P05556;P15692;P17948;P33151;P35968;P37173;Q16236;Q5UCC4;Q8N302;Q9BZL6;Q9NZ08"
"up_in_AS_adult"	"GO_BP"	"0003151"	"outflow tract morphogenesis "	9	549	28	6459	1.45719489981785	0.433503638334107	0.00538231227259066	1	3.36143637782982	"O15119;P15692;P25929;P35713;P36382;P37173;P46531;Q6KC79;Q9UP38"
"up_in_AS_adult"	"GO_BP"	"0098609"	"cell-cell adhesion "	15	549	69	6459	2.55009107468124	1.06827682303762	0.00549996856925704	1	2.38710699295161	"O60716;O94856;P04216;P08648;P12830;P26006;P33151;P35221;P53708;P56199;Q07157;Q12860;Q86YL7;Q96AP7;Q9Y490"
"up_in_AS_adult"	"GO_BP"	"0045892"	"negative regulation of DNA-templated transcription "	33	549	221	6459	5.8287795992714	3.42158228827992	0.00550709335204119	1	1.70353336794995	"O15119;O95365;P04150;P11142;P19544;P20393;P23771;P24468;P26583;P35713;P45973;P46531;P49918;Q02363;Q02447;Q03112;Q14995;Q15326;Q15723;Q6KC79;Q6NT76;Q8TAQ2;Q96BF6;Q96RK0;Q96TA1;Q99549;Q9NP71;Q9NYF8;Q9UBP4;Q9UGL1;Q9UP38;Q9UQR1;Q5VXH4"
"down_in_AS_adult"	"GO_BP"	"0045926"	"negative regulation of growth "	7	891	10	6459	0.673400673400673	0.154822727976467	0.00812674842473892	1	4.34949494949495	"P02795;P04731;P04732;P13640;P80297;Q13882;Q8N339"
"up_in_AS_adult"	"GO_BP"	"0007229"	"integrin-mediated signaling pathway "	12	549	52	6459	2.00364298724954	0.805078185477628	0.00836340607170049	1	2.48875577973939	"O14495;O14786;P02461;P04216;P05556;P08648;P26006;P35221;P35579;P53708;P56199;Q9Y490"
"up_in_AS_adult"	"GO_BP"	"0043627"	"response to estrogen "	7	549	18	6459	1.09289617486339	0.278680910357641	0.00851245547111052	1	3.92167577413479	"O14686;O43541;P09619;P23771;P24385;P35221;P37173"
"up_in_AS_adult"	"GO_BP"	"1903078"	"positive regulation of protein localization to plasma membrane "	8	549	25	6459	1.27504553734062	0.387056819941167	0.0098984909096111	1	3.29420765027322	"O00264;O15530;P05556;P26006;P33176;P62330;Q01082;Q96DZ5"
"up_in_AS_adult"	"GO_BP"	"0030324"	"lung development "	9	549	32	6459	1.45719489981785	0.495432729524694	0.0104067727254176	1	2.94125683060109	"P02461;P15692;P26006;P46531;P62136;P63104;Q02447;Q86YL7;Q9ULI3"
"up_in_AS_adult"	"GO_BP"	"0120183"	"positive regulation of focal adhesion disassembly "	4	549	4	6459	0.546448087431694	0.0619290911905868	0.0128112416344099	1	8.82377049180328	"O95819;P51452;P62330;Q6DN90"
"up_in_AS_adult"	"GO_BP"	"0010628"	"positive regulation of gene expression "	26	549	171	6459	4.55373406193078	2.64746864839758	0.0137597702268041	1	1.72003323426964	"O00571;O15455;O75444;O94916;P15056;P15529;P15692;P16885;P19544;P25490;P26006;P33151;P35241;P46531;P46937;Q02078;Q02363;Q02750;Q12860;Q16236;Q16288;Q16620;Q6XE24;Q96PU8;Q9P1Z2;Q9UGL1"
"up_in_AS_adult"	"GO_BP"	"0030514"	"negative regulation of BMP signaling pathway "	8	549	29	6459	1.27504553734062	0.448985911131754	0.0187722867565954	1	2.83983418127002	"O43541;P12755;P12757;P46531;P61077;Q92743;Q9NZV1;Q9UP38"
