"Uniprot_Accession","Uniprot_ID","KEGG_ID","Pathway_ID","Pathway_name"
"P11245","ARY2_HUMAN","hsa:10","path:hsa05204","Chemical carcinogenesis - DNA adducts - Homo sapiens (human)"
"P11245","ARY2_HUMAN","hsa:10","path:hsa00232","Caffeine metabolism - Homo sapiens (human)"
"P11245","ARY2_HUMAN","hsa:10","path:hsa00983","Drug metabolism - other enzymes - Homo sapiens (human)"
"P11245","ARY2_HUMAN","hsa:10","path:hsa01100","Metabolic pathways - Homo sapiens (human)"
"P00813","ADA_HUMAN","hsa:100","path:hsa01232","Nucleotide metabolism - Homo sapiens (human)"
"P00813","ADA_HUMAN","hsa:100","path:hsa01100","Metabolic pathways - Homo sapiens (human)"
"P00813","ADA_HUMAN","hsa:100","path:hsa00230","Purine metabolism - Homo sapiens (human)"
"P00813","ADA_HUMAN","hsa:100","path:hsa05340","Primary immunodeficiency - Homo sapiens (human)"
"P19022","CADH2_HUMAN","hsa:1000","path:hsa05412","Arrhythmogenic right ventricular cardiomyopathy - Homo sapiens (human)"
"P19022","CADH2_HUMAN","hsa:1000","path:hsa04514","Cell adhesion molecules - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa04072","Phospholipase D signaling pathway - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa05208","Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa05010","Alzheimer disease - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa04370","VEGF signaling pathway - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa05166","Human T-cell leukemia virus 1 infection - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa04662","B cell receptor signaling pathway - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa05160","Hepatitis C - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa05145","Toxoplasmosis - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa05224","Breast cancer - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa04211","Longevity regulating pathway - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa05220","Chronic myeloid leukemia - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa04660","T cell receptor signaling pathway - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa05165","Human papillomavirus infection - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa04010","MAPK signaling pathway - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa04380","Osteoclast differentiation - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa04150","mTOR signaling pathway - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa04919","Thyroid hormone signaling pathway - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa05207","Chemical carcinogenesis - receptor activation - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa04668","TNF signaling pathway - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa04071","Sphingolipid signaling pathway - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa04664","Fc epsilon RI signaling pathway - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa04936","Alcoholic liver disease - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa05152","Tuberculosis - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa04933","AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa04666","Fc gamma R-mediated phagocytosis - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa04973","Carbohydrate digestion and absorption - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa05164","Influenza A - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa05417","Lipid and atherosclerosis - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa04926","Relaxin signaling pathway - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa04151","PI3K-Akt signaling pathway - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa05162","Measles - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa04015","Rap1 signaling pathway - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa05231","Choline metabolism in cancer - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa04625","C-type lectin receptor signaling pathway - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa05132","Salmonella infection - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa05214","Glioma - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa05210","Colorectal cancer - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa05142","Chagas disease - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa04012","ErbB signaling pathway - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","path:hsa05221","Acute myeloid leukemia - Homo sapiens (human)"
