"component"	"Category"	"Term_accession"	"Term_description"	"Count_query"	"Pop_query"	"Count_universe"	"Pop_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"
"PC3"	"GO_BP"	"0042593"	"glucose homeostasis "	14	640	47	6459	2.03125	0.727666821489395	0.00203172867033714	1	2.79145611702128	"O95388;P02753;P06737;P06744;P24593;P35557;P49366;P58004;P62753;Q06945;Q08AH3;Q8N6T7;Q9NP71;Q9NY56"
"PC1"	"GO_BP"	"0006334"	"nucleosome assembly "	10	634	25	6459	1.41955835962145	0.387056819941167	0.00218470514461241	1	3.66757097791798	"P06748;P06899;P0DME0;P46100;P55209;Q08945;Q93079;Q99879;Q99880;Q9UJ04"
"PC1"	"GO_BP"	"0002181"	"cytoplasmic translation "	19	634	79	6459	2.8391167192429	1.22309955101409	0.00310809266133371	1	2.32124745437847	"P08865;P15880;P18077;P18124;P18621;P25398;P30050;P46778;P46783;P49207;P49591;P61247;P62249;P62424;P62753;P62854;P62857;P62899;P84098"
"PC3"	"GO_BP"	"0002181"	"cytoplasmic translation "	19	640	79	6459	2.8125	1.22309955101409	0.00320872187944068	1	2.29948575949367	"P05386;P05388;P15880;P18124;P23396;P32969;P61254;P61513;P62241;P62263;P62269;P62753;P62829;P62851;P62891;P62917;P63220;P83881;Q9Y3U8"
"PC2"	"GO_BP"	"0045786"	"negative regulation of cell cycle "	10	640	27	6459	1.40625	0.418021365536461	0.00354206768850076	1	3.3640625	"P01137;P06400;P12643;P14921;P15428;P23771;P62745;Q13761;Q8WWF5;Q8NBR0"
"PC2"	"GO_BP"	"0060317"	"cardiac epithelial to mesenchymal transition "	5	640	6	6459	0.625	0.0928936367858802	0.00852283448187147	1	6.728125	"O15119;P12643;P46531;Q13444;Q9NQC3"
"PC3"	"GO_BP"	"0009749"	"response to glucose "	9	640	27	6459	1.25	0.418021365536461	0.0103607650292379	1	2.99027777777778	"P15104;P17858;P18146;P29279;P58004;P61586;P63027;Q01955;Q99757"
"PC2"	"GO_BP"	"0001570"	"vasculogenesis "	10	640	35	6459	1.40625	0.541879547917634	0.0140486449746004	1	2.59513392857143	"O14786;P01137;P35414;P35713;P35968;P37173;Q07352;Q12965;Q4VCS5;Q96PU8"
"PC2"	"GO_BP"	"0010718"	"positive regulation of epithelial to mesenchymal transition "	8	640	23	6459	1.09375	0.356092274345874	0.0144088327934017	1	3.07153532608696	"P01137;P12643;P29508;P35222;P37173;Q5IJ48;Q96AC1;Q9GZV5"
"PC2"	"GO_BP"	"0050680"	"negative regulation of epithelial cell proliferation "	8	640	24	6459	1.09375	0.371574547143521	0.0172204115590907	1	2.9435546875	"P01137;P06400;P15336;P46531;P48431;P49918;P61769;Q13761"
"PC2"	"GO_BP"	"0035162"	"embryonic hemopoiesis "	5	640	8	6459	0.625	0.123858182381174	0.0173938532282298	1	5.04609375	"P23771;P35968;P37173;Q03164;Q9UQQ2"
"PC3"	"GO_BP"	"0030330"	"DNA damage response, signal transduction by p53 class mediator "	5	640	8	6459	0.625	0.123858182381174	0.0173938532282298	1	5.04609375	"O15151;P46100;P58004;Q14694;Q92597"
"PC3"	"GO_BP"	"0006412"	"translation "	23	640	126	6459	3.4375	1.95076637250348	0.0183444398227922	1	1.76212797619048	"P05386;P05388;P15880;P18124;P23396;P32969;P49366;P52815;P61254;P61513;P62241;P62263;P62269;P62753;P62829;P62851;P62891;P62917;P63220;P83881;Q86TS9;Q9Y3U8;Q9Y3D5"
"PC2"	"GO_BP"	"2000563"	"positive regulation of CD4-positive, alpha-beta T cell proliferation "	4	640	4	6459	0.46875	0.0619290911905868	0.0188392683577477	1	7.569140625	"P08174;P37173;P60033;Q9BXL7"
"PC2"	"GO_BP"	"0030335"	"positive regulation of cell migration "	21	640	112	6459	3.125	1.73401455333643	0.0192397558447471	1	1.80217633928571	"O00159;O43707;O95819;P01137;P05019;P05556;P09237;P09619;P12643;P29508;P35968;P46531;P55290;P56270;Q07157;Q16288;Q6ZRV2;Q96AC1;Q99075;Q9H3T2;Q9P283"
"PC3"	"GO_BP"	"0014070"	"response to organic cyclic compound "	8	640	25	6459	1.09375	0.387056819941167	0.0203976845780177	1	2.8258125	"P09603;P17535;P24752;P33316;P78543;Q16828;Q8TDD2;Q99757"
"PC3"	"GO_BP"	"0009617"	"response to bacterium "	9	640	32	6459	1.25	0.495432729524694	0.0228336866617939	1	2.523046875	"O60493;P06737;P12643;P60022;Q13451;Q9NZ08;Q9P2N4;Q56VL3;Q9C002"
"PC3"	"GO_BP"	"0045087"	"innate immune response "	26	640	154	6459	3.90625	2.38427001083759	0.0230770538307151	1	1.63834212662338	"O00571;O14791;P05026;P09603;P09871;P12838;P23771;P29590;P40305;P49662;P54578;P60022;P61769;Q01804;Q10589;Q13444;Q13882;Q15139;Q15233;Q86WV6;Q86YW5;Q8IXJ6;Q92993;Q9BRZ2;Q9BZM2;Q9P2E3"
"PC3"	"GO_BP"	"0032024"	"positive regulation of insulin secretion "	7	640	20	6459	0.9375	0.309645455952934	0.0241691925689385	1	3.02765625	"P02753;P15104;P20309;P29992;P35557;Q06945;Q8N6T7"
"PC3"	"GO_BP"	"0007229"	"integrin-mediated signaling pathway "	12	640	52	6459	1.71875	0.805078185477628	0.0249600634392999	1	2.13488581730769	"P05106;P06756;P17301;P18084;P22392;P29279;Q03001;Q07092;Q13444;Q15139;Q7Z4I7;Q9UHI8"
"PC2"	"GO_BP"	"0007204"	"positive regulation of cytosolic calcium ion concentration "	11	640	44	6459	1.5625	0.681220003096454	0.025827939053292	1	2.29367897727273	"O43603;P01019;P01042;P01178;P08174;P28223;P30556;P47901;Q9BXJ1;Q9HBW0;P63215"
"PC3"	"GO_BP"	"0030198"	"extracellular matrix organization "	11	640	45	6459	1.5625	0.696702275894101	0.0277634838819421	1	2.24270833333333	"P15291;P16234;P27658;P39059;Q01955;Q07092;Q14055;Q16674;Q6UXI9;Q9P2N4;Q9UHI8"
"PC2"	"GO_BP"	"0051549"	"positive regulation of keratinocyte migration "	4	640	5	6459	0.46875	0.0774113639882335	0.0281720834686618	1	6.0553125	"O95819;P62330;Q6DN90;Q99075"
"PC2"	"GO_BP"	"0030050"	"vesicle transport along actin filament "	5	640	10	6459	0.625	0.154822727976467	0.0304864774550563	1	4.036875	"B0I1T2;O00159;O43707;O94832;Q12965"
"PC2"	"GO_BP"	"0031069"	"hair follicle morphogenesis "	5	640	10	6459	0.625	0.154822727976467	0.0304864774550563	1	4.036875	"P24593;P35222;P46531;Q7Z3Y7;Q9GZT5"
"PC3"	"GO_BP"	"0032703"	"negative regulation of interleukin-2 production "	5	640	10	6459	0.625	0.154822727976467	0.0304864774550563	1	4.036875	"P15311;P23771;P26651;Q8WUI4;Q92993"
"PC2"	"GO_BP"	"0030154"	"cell differentiation "	28	640	173	6459	4.21875	2.67843319399288	0.0312110132738926	1	1.57508128612717	"O15523;P04155;P06400;P09529;P18405;P24468;P41134;P48431;P48634;P62330;P62745;Q01534;Q06945;Q13133;Q13882;Q14444;Q6PUV4;Q96L21;Q9BQG1;Q9H8Y8;Q9HBH7;Q9P0K7;Q9UNE0;P60985;Q08AF3;Q8NHV5;Q8TF32;Q9H3Y8"
"PC2"	"GO_BP"	"0051897"	"positive regulation of protein kinase B signaling "	11	640	47	6459	1.5625	0.727666821489395	0.0324662667901204	1	2.14727393617021	"P01137;P05019;P05556;P08238;P23771;P24593;P56270;Q96AC1;Q99075;Q9BXJ1;Q9NQC3"
"PC2"	"GO_BP"	"0008284"	"positive regulation of cell population proliferation "	28	640	176	6459	4.21875	2.72488001238582	0.0330337998400147	1	1.54823330965909	"O15119;O15315;P01137;P05019;P09619;P12643;P28223;P29508;P35070;P35968;P37173;P40189;P41595;P43490;P46531;P52799;P55209;P56270;P60033;P62701;Q06945;Q07157;Q13007;Q16288;Q99075;Q9GZV5;Q9Y240;O95521"
"PC3"	"GO_BP"	"0034614"	"cellular response to reactive oxygen species "	7	640	22	6459	0.9375	0.340610001548227	0.0339909763174566	1	2.75241477272727	"P01100;P05412;P09493;P16234;P23396;P42330;P49023"
