"enriched_in"	"Category"	"Term_accession"	"Term_description"	"Count_query"	"Pop_query"	"Count_universe"	"Pop_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"
"up_in_AS_young"	"GO_MF"	"0003723"	"RNA binding "	22	347	752	5974	6.05187319884726	12.5878808168731	0.000177770998687723	0.0983073622743106	0.480769820344595	"O43390;O75369;P0C7T5;P13798;P21333;P21399;P62750;Q14004;Q16540;Q5VWP2;Q6NZI2;Q76FK4;Q7L014;Q7Z2W4;Q8IXM3;Q8NF91;Q99590;Q9BUQ8;Q9HAV4;Q9Y580;Q9NXL6;Q6PK04"
"up_in_AS_young"	"GO_MF"	"0020037"	"heme binding "	10	347	36	5974	2.59365994236311	0.602611315701373	0.00057734710769571	0.159636475277864	4.30403458213256	"P11509;P13498;P23219;P35520;Q5TCH4;Q6ZWL3;Q86W10;Q8TAV3;Q9UPI3;Q8N118"
"up_in_AS_young"	"GO_BP"	"0030198"	"extracellular matrix organization "	10	347	42	5974	2.59365994236311	0.703046534984935	0.00148608884881262	1	3.68917249897077	"O94769;P05997;P0C7T5;P16234;P20908;P27658;P39059;Q07092;Q76M96;Q9Y6A1"
"up_in_AS_young"	"GO_CC"	"0043231"	"intracellular membrane-bounded organelle "	35	347	348	5974	9.79827089337176	5.8252427184466	0.00350366900576115	0.78938266025001	1.68203650336215	"O14981;O15018;O94886;O95863;P01009;P08069;P09619;P11509;P16435;P23219;P29279;P35680;P42338;Q08174;Q15329;Q53G59;Q5TCH4;Q5W0Z9;Q6NZI2;Q6P1M3;Q6P3S1;Q6UWI2;Q8N357;Q8TAV3;Q8TCQ1;Q8TCT6;Q8TDY4;Q93050;Q969X5;Q96EQ8;Q9NWR8;Q9NWW5;Q9NX02;Q9NX57;Q9Y2I1"
"up_in_AS_young"	"GO_CC"	"0005829"	"cytosol "	110	347	2346	5974	31.4121037463977	39.2701707398728	0.00542026584755711	0.78938266025001	0.799897305119266	"O00418;O15018;O15164;O15327;O43175;O43318;O43572;O43609;O43903;O60494;O60716;O75369;O75920;O94822;O95487;O95782;O95863;O96013;P00352;P04626;P04637;P05165;P10114;P11182;P13798;P15313;P16435;P16930;P21333;P21399;P29279;P29373;P30281;P32019;P35240;P35520;P35869;P42025;P42338;P43686;P50135;P50542;P51784;P53004;P56945;P62736;P62750;Q00597;Q01638;Q03112;Q06495;Q13332;Q14004;Q14432;Q14764;Q14894;Q3LXA3;Q3SXY8;Q53G59;Q5SW96;Q5T124;Q5VW36;Q5VZK9;Q6NZI2;Q6NZY7;Q6P1M3;Q6P1N0;Q6P3S1;Q6UWI2;Q76N32;Q7Z2W4;Q8IXJ6;Q8N1B4;Q8N357;Q8NEB9;Q8NFG4;Q8TCY9;Q8TDY4;Q8WWI1;Q92540;Q92686;Q92997;Q93034;Q93050;Q93052;Q96F86;Q96FZ7;Q96N77;Q96RG2;Q9BVN2;Q9C004;Q9H0B6;Q9HAV4;Q9NPH2;Q9NWU1;Q9NWX6;Q9NX02;Q9P2K1;Q9P2K6;Q9UGP4;Q9UHV9;Q9UQB8;Q9UQL6;Q9Y2I1;Q9Y450;P09630;P0CG29;Q9NYF5;Q96S95;Q9H425"
"up_in_AS_young"	"GO_BP"	"0006955"	"immune response "	12	347	75	5974	3.1700288184438	1.25544024104453	0.00649829534122916	1	2.52503362151777	"O95406;P00736;P08069;P09912;P31994;P32248;P51677;P78423;Q01638;Q8TCQ1;Q53G44;Q8TCB0"
"up_in_AS_young"	"GO_CC"	"0005634"	"nucleus "	102	347	2179	5974	29.1066282420749	36.474723803147	0.00804147476039126	0.78938266025001	0.797994479661109	"O15018;O15151;O15164;O43318;O43390;O60244;O60716;O60729;O60941;O75920;O94864;O95751;O95863;P04626;P04637;P08069;P09619;P0C7T5;P10828;P13498;P13640;P15927;P16234;P17014;P17483;P21333;P23771;P29373;P30281;P31629;P35240;P35520;P35680;P35869;P40692;P42338;P43686;P49810;P51784;P62750;P78337;P98161;Q00597;Q03112;Q06730;Q14004;Q14188;Q14192;Q14764;Q14894;Q15393;Q3LXA3;Q53H80;Q5VWP2;Q6NZI2;Q6P1N0;Q7L014;Q7Z2W4;Q8IXJ6;Q8N201;Q8N5U6;Q8NF91;Q8NFG4;Q8TAU3;Q8TCY9;Q8TD26;Q8WWI1;Q92540;Q92686;Q92766;Q92988;Q93034;Q93052;Q96B02;Q96ES7;Q96LW4;Q96RG2;Q9BUQ8;Q9BVN2;Q9BVW5;Q9BXM0;Q9BY27;Q9C0G0;Q9H1B7;Q9HAV4;Q9HAZ1;Q9NS23;Q9NX70;Q9NXL9;Q9UGP4;Q9UHV9;Q9ULH7;Q9UQL6;Q9Y580;O15037;P09630;P0CG29;Q9BVC5;O75333;Q13106;Q6PK04;Q9NWW7"
"up_in_AS_young"	"GO_MF"	"0005506"	"iron ion binding "	8	347	37	5974	2.01729106628242	0.6193505189153	0.00884272789163689	1	3.25710725134356	"O60568;P08582;P11509;Q5TCH4;Q6ZWL3;Q86W10;Q8TAV3;Q8N118"
"up_in_AS_young"	"GO_BP"	"0001822"	"kidney development "	9	347	47	5974	2.30547550432277	0.78674255105457	0.00907460064381599	1	2.93040652400515	"O76024;P00797;P23771;P35680;P98161;P98164;Q06495;Q5TCH4;Q9P2K1"
"up_in_AS_young"	"GO_CC"	"0005737"	"cytoplasm "	90	347	1956	5974	25.6484149855908	32.7418814864412	0.00914810996729675	0.78938266025001	0.783351897361551	"O00418;O15018;O15040;O15327;O43318;O60716;O60941;O75369;O95863;O96013;P00352;P00797;P04637;P08069;P09619;P11182;P11509;P13640;P15313;P16234;P19835;P21333;P21399;P23219;P29373;P30281;P35240;P35520;P35869;P42025;P42338;P43652;P50135;P50542;P51677;P56945;P62736;P62750;P78337;P98161;Q00597;Q14764;Q14894;Q53H80;Q5EBM0;Q5H9J7;Q5SZL2;Q5VWP2;Q63ZY3;Q6NZI2;Q6NZY7;Q6P1M3;Q7Z2W4;Q86X02;Q86Y56;Q8IXJ6;Q8N5U6;Q8NEB9;Q8NF91;Q8NFG4;Q8TAV3;Q8TCQ1;Q8WWI1;Q92482;Q92540;Q92766;Q96AY4;Q96RG2;Q9BVW5;Q9BXM0;Q9C004;Q9H0B6;Q9HAV4;Q9HD26;Q9NPH2;Q9NS23;Q9NX02;Q9P2S5;Q9UGP4;Q9UHV9;Q9UQB8;Q9UQL6;Q9Y2I1;O75973;P0CG29;Q53G44;Q9BVC5;Q8TC17;Q8TCB0;Q9C0B9"
